file,model,kind,view,ymax
N1__curves.Rmd,N1,norm,curves,600
N1__curves_col.Rmd,N1,norm,curves_col,600
N1__comp.Rmd,N1,norm,comp,600
N1__comp_col.Rmd,N1,norm,comp_col,600
N1__stk_air.Rmd,N1,norm,stk_air,800
N1__stk_air_col.Rmd,N1,norm,stk_air_col,800
N1__stk_gha.Rmd,N1,norm,stk_gha,800
N1__stk_gha_col.Rmd,N1,norm,stk_gha_col,800
N2__curves.Rmd,N2,norm,curves,600
N2__curves_col.Rmd,N2,norm,curves_col,600
N2__comp.Rmd,N2,norm,comp,600
N2__comp_col.Rmd,N2,norm,comp_col,600
N2__stk_air.Rmd,N2,norm,stk_air,800
N2__stk_air_col.Rmd,N2,norm,stk_air_col,800
N2__stk_gha.Rmd,N2,norm,stk_gha,800
N2__stk_gha_col.Rmd,N2,norm,stk_gha_col,800
N3__curves.Rmd,N3,norm,curves,600
N3__curves_col.Rmd,N3,norm,curves_col,600
N3__comp.Rmd,N3,norm,comp,600
N3__comp_col.Rmd,N3,norm,comp_col,600
N3__stk_air.Rmd,N3,norm,stk_air,800
N3__stk_air_col.Rmd,N3,norm,stk_air_col,800
N3__stk_gha.Rmd,N3,norm,stk_gha,800
N3__stk_gha_col.Rmd,N3,norm,stk_gha_col,800
N4__curves.Rmd,N4,norm,curves,600
N4__curves_col.Rmd,N4,norm,curves_col,600
N4__comp.Rmd,N4,norm,comp,600
N4__comp_col.Rmd,N4,norm,comp_col,600
N4__stk_air.Rmd,N4,norm,stk_air,800
N4__stk_air_col.Rmd,N4,norm,stk_air_col,800
N4__stk_gha.Rmd,N4,norm,stk_gha,800
N4__stk_gha_col.Rmd,N4,norm,stk_gha_col,800
N5__curves.Rmd,N5,norm,curves,600
N5__curves_col.Rmd,N5,norm,curves_col,600
N5__comp.Rmd,N5,norm,comp,600
N5__comp_col.Rmd,N5,norm,comp_col,600
N5__stk_air.Rmd,N5,norm,stk_air,800
N5__stk_air_col.Rmd,N5,norm,stk_air_col,800
N5__stk_gha.Rmd,N5,norm,stk_gha,800
N5__stk_gha_col.Rmd,N5,norm,stk_gha_col,800
N6__curves.Rmd,N6,norm,curves,600
N6__curves_col.Rmd,N6,norm,curves_col,600
N6__comp.Rmd,N6,norm,comp,600
N6__comp_col.Rmd,N6,norm,comp_col,600
N6__stk_air.Rmd,N6,norm,stk_air,800
N6__stk_air_col.Rmd,N6,norm,stk_air_col,800
N6__stk_gha.Rmd,N6,norm,stk_gha,800
N6__stk_gha_col.Rmd,N6,norm,stk_gha_col,800
N7__curves.Rmd,N7,norm,curves,600
N7__curves_col.Rmd,N7,norm,curves_col,600
N7__comp.Rmd,N7,norm,comp,600
N7__comp_col.Rmd,N7,norm,comp_col,600
N7__stk_air.Rmd,N7,norm,stk_air,800
N7__stk_air_col.Rmd,N7,norm,stk_air_col,800
N7__stk_gha.Rmd,N7,norm,stk_gha,800
N7__stk_gha_col.Rmd,N7,norm,stk_gha_col,800
N8__curves.Rmd,N8,norm,curves,600
N8__curves_col.Rmd,N8,norm,curves_col,600
N8__comp.Rmd,N8,norm,comp,600
N8__comp_col.Rmd,N8,norm,comp_col,600
N8__stk_air.Rmd,N8,norm,stk_air,800
N8__stk_air_col.Rmd,N8,norm,stk_air_col,800
N8__stk_gha.Rmd,N8,norm,stk_gha,800
N8__stk_gha_col.Rmd,N8,norm,stk_gha_col,800
N9__curves.Rmd,N9,norm,curves,600
N9__curves_col.Rmd,N9,norm,curves_col,600
N9__comp.Rmd,N9,norm,comp,600
N9__comp_col.Rmd,N9,norm,comp_col,600
N9__stk_air.Rmd,N9,norm,stk_air,800
N9__stk_air_col.Rmd,N9,norm,stk_air_col,800
N9__stk_gha.Rmd,N9,norm,stk_gha,800
N9__stk_gha_col.Rmd,N9,norm,stk_gha_col,800
N10__curves.Rmd,N10,norm,curves,600
N10__curves_col.Rmd,N10,norm,curves_col,600
N10__comp.Rmd,N10,norm,comp,600
N10__comp_col.Rmd,N10,norm,comp_col,600
N10__stk_air.Rmd,N10,norm,stk_air,800
N10__stk_air_col.Rmd,N10,norm,stk_air_col,800
N10__stk_gha.Rmd,N10,norm,stk_gha,800
N10__stk_gha_col.Rmd,N10,norm,stk_gha_col,800
N11__curves.Rmd,N11,norm,curves,600
N11__curves_col.Rmd,N11,norm,curves_col,600
N11__comp.Rmd,N11,norm,comp,600
N11__comp_col.Rmd,N11,norm,comp_col,600
N11__stk_air.Rmd,N11,norm,stk_air,800
N11__stk_air_col.Rmd,N11,norm,stk_air_col,800
N11__stk_gha.Rmd,N11,norm,stk_gha,800
N11__stk_gha_col.Rmd,N11,norm,stk_gha_col,800
N12__curves.Rmd,N12,norm,curves,600
N12__curves_col.Rmd,N12,norm,curves_col,600
N12__comp.Rmd,N12,norm,comp,600
N12__comp_col.Rmd,N12,norm,comp_col,600
N12__stk_air.Rmd,N12,norm,stk_air,800
N12__stk_air_col.Rmd,N12,norm,stk_air_col,800
N12__stk_gha.Rmd,N12,norm,stk_gha,800
N12__stk_gha_col.Rmd,N12,norm,stk_gha_col,800
N13__curves.Rmd,N13,norm,curves,600
N13__curves_col.Rmd,N13,norm,curves_col,600
N13__comp.Rmd,N13,norm,comp,600
N13__comp_col.Rmd,N13,norm,comp_col,600
N13__stk_air.Rmd,N13,norm,stk_air,800
N13__stk_air_col.Rmd,N13,norm,stk_air_col,800
N13__stk_gha.Rmd,N13,norm,stk_gha,800
N13__stk_gha_col.Rmd,N13,norm,stk_gha_col,800
U1__curves.Rmd,U1,unif,curves,600
U1__curves_col.Rmd,U1,unif,curves_col,600
U1__comp.Rmd,U1,unif,comp,600
U1__comp_col.Rmd,U1,unif,comp_col,600
U1__stk_air.Rmd,U1,unif,stk_air,800
U1__stk_air_col.Rmd,U1,unif,stk_air_col,800
U1__stk_gha.Rmd,U1,unif,stk_gha,800
U1__stk_gha_col.Rmd,U1,unif,stk_gha_col,800
EG0__curves.Rmd,EG0,expg,curves,600
EG0__curves_col.Rmd,EG0,expg,curves_col,600
EG0__comp.Rmd,EG0,expg,comp,600
EG0__comp_col.Rmd,EG0,expg,comp_col,600
EG0__stk_air.Rmd,EG0,expg,stk_air,800
EG0__stk_air_col.Rmd,EG0,expg,stk_air_col,800
EG0__stk_gha.Rmd,EG0,expg,stk_gha,800
EG0__stk_gha_col.Rmd,EG0,expg,stk_gha_col,800
EG1__curves.Rmd,EG1,expg,curves,600
EG1__curves_col.Rmd,EG1,expg,curves_col,600
EG1__comp.Rmd,EG1,expg,comp,600
EG1__comp_col.Rmd,EG1,expg,comp_col,600
EG1__stk_air.Rmd,EG1,expg,stk_air,800
EG1__stk_air_col.Rmd,EG1,expg,stk_air_col,800
EG1__stk_gha.Rmd,EG1,expg,stk_gha,800
EG1__stk_gha_col.Rmd,EG1,expg,stk_gha_col,800
EG2__curves.Rmd,EG2,expg,curves,600
EG2__curves_col.Rmd,EG2,expg,curves_col,600
EG2__comp.Rmd,EG2,expg,comp,600
EG2__comp_col.Rmd,EG2,expg,comp_col,600
EG2__stk_air.Rmd,EG2,expg,stk_air,800
EG2__stk_air_col.Rmd,EG2,expg,stk_air_col,800
EG2__stk_gha.Rmd,EG2,expg,stk_gha,800
EG2__stk_gha_col.Rmd,EG2,expg,stk_gha_col,800
EG3__curves.Rmd,EG3,expg,curves,600
EG3__curves_col.Rmd,EG3,expg,curves_col,600
EG3__comp.Rmd,EG3,expg,comp,600
EG3__comp_col.Rmd,EG3,expg,comp_col,600
EG3__stk_air.Rmd,EG3,expg,stk_air,800
EG3__stk_air_col.Rmd,EG3,expg,stk_air_col,800
EG3__stk_gha.Rmd,EG3,expg,stk_gha,800
EG3__stk_gha_col.Rmd,EG3,expg,stk_gha_col,800
EG4__curves.Rmd,EG4,expg,curves,600
EG4__curves_col.Rmd,EG4,expg,curves_col,600
EG4__comp.Rmd,EG4,expg,comp,600
EG4__comp_col.Rmd,EG4,expg,comp_col,600
EG4__stk_air.Rmd,EG4,expg,stk_air,800
EG4__stk_air_col.Rmd,EG4,expg,stk_air_col,800
EG4__stk_gha.Rmd,EG4,expg,stk_gha,800
EG4__stk_gha_col.Rmd,EG4,expg,stk_gha_col,800
EG5__curves.Rmd,EG5,expg,curves,600
EG5__curves_col.Rmd,EG5,expg,curves_col,600
EG5__comp.Rmd,EG5,expg,comp,600
EG5__comp_col.Rmd,EG5,expg,comp_col,600
EG5__stk_air.Rmd,EG5,expg,stk_air,800
EG5__stk_air_col.Rmd,EG5,expg,stk_air_col,800
EG5__stk_gha.Rmd,EG5,expg,stk_gha,800
EG5__stk_gha_col.Rmd,EG5,expg,stk_gha_col,800
ED0__curves.Rmd,ED0,expd,curves,600
ED0__curves_col.Rmd,ED0,expd,curves_col,600
ED0__comp.Rmd,ED0,expd,comp,600
ED0__comp_col.Rmd,ED0,expd,comp_col,600
ED0__stk_air.Rmd,ED0,expd,stk_air,800
ED0__stk_air_col.Rmd,ED0,expd,stk_air_col,800
ED0__stk_gha.Rmd,ED0,expd,stk_gha,800
ED0__stk_gha_col.Rmd,ED0,expd,stk_gha_col,800
ED1__curves.Rmd,ED1,expd,curves,600
ED1__curves_col.Rmd,ED1,expd,curves_col,600
ED1__comp.Rmd,ED1,expd,comp,600
ED1__comp_col.Rmd,ED1,expd,comp_col,600
ED1__stk_air.Rmd,ED1,expd,stk_air,800
ED1__stk_air_col.Rmd,ED1,expd,stk_air_col,800
ED1__stk_gha.Rmd,ED1,expd,stk_gha,800
ED1__stk_gha_col.Rmd,ED1,expd,stk_gha_col,800
ED2__curves.Rmd,ED2,expd,curves,600
ED2__curves_col.Rmd,ED2,expd,curves_col,600
ED2__comp.Rmd,ED2,expd,comp,600
ED2__comp_col.Rmd,ED2,expd,comp_col,600
ED2__stk_air.Rmd,ED2,expd,stk_air,800
ED2__stk_air_col.Rmd,ED2,expd,stk_air_col,800
ED2__stk_gha.Rmd,ED2,expd,stk_gha,800
ED2__stk_gha_col.Rmd,ED2,expd,stk_gha_col,800
ED3__curves.Rmd,ED3,expd,curves,600
ED3__curves_col.Rmd,ED3,expd,curves_col,600
ED3__comp.Rmd,ED3,expd,comp,600
ED3__comp_col.Rmd,ED3,expd,comp_col,600
ED3__stk_air.Rmd,ED3,expd,stk_air,800
ED3__stk_air_col.Rmd,ED3,expd,stk_air_col,800
ED3__stk_gha.Rmd,ED3,expd,stk_gha,800
ED3__stk_gha_col.Rmd,ED3,expd,stk_gha_col,800
ED4__curves.Rmd,ED4,expd,curves,600
ED4__curves_col.Rmd,ED4,expd,curves_col,600
ED4__comp.Rmd,ED4,expd,comp,600
ED4__comp_col.Rmd,ED4,expd,comp_col,600
ED4__stk_air.Rmd,ED4,expd,stk_air,800
ED4__stk_air_col.Rmd,ED4,expd,stk_air_col,800
ED4__stk_gha.Rmd,ED4,expd,stk_gha,800
ED4__stk_gha_col.Rmd,ED4,expd,stk_gha_col,800
ED5__curves.Rmd,ED5,expd,curves,600
ED5__curves_col.Rmd,ED5,expd,curves_col,600
ED5__comp.Rmd,ED5,expd,comp,600
ED5__comp_col.Rmd,ED5,expd,comp_col,600
ED5__stk_air.Rmd,ED5,expd,stk_air,800
ED5__stk_air_col.Rmd,ED5,expd,stk_air_col,800
ED5__stk_gha.Rmd,ED5,expd,stk_gha,800
ED5__stk_gha_col.Rmd,ED5,expd,stk_gha_col,800
SL1__curves.Rmd,SL1,skew,curves,600
SL1__curves_col.Rmd,SL1,skew,curves_col,600
SL1__comp.Rmd,SL1,skew,comp,600
SL1__comp_col.Rmd,SL1,skew,comp_col,600
SL1__stk_air.Rmd,SL1,skew,stk_air,800
SL1__stk_air_col.Rmd,SL1,skew,stk_air_col,800
SL1__stk_gha.Rmd,SL1,skew,stk_gha,800
SL1__stk_gha_col.Rmd,SL1,skew,stk_gha_col,800
SL2__curves.Rmd,SL2,skew,curves,600
SL2__curves_col.Rmd,SL2,skew,curves_col,600
SL2__comp.Rmd,SL2,skew,comp,600
SL2__comp_col.Rmd,SL2,skew,comp_col,600
SL2__stk_air.Rmd,SL2,skew,stk_air,800
SL2__stk_air_col.Rmd,SL2,skew,stk_air_col,800
SL2__stk_gha.Rmd,SL2,skew,stk_gha,800
SL2__stk_gha_col.Rmd,SL2,skew,stk_gha_col,800
SL3__curves.Rmd,SL3,skew,curves,600
SL3__curves_col.Rmd,SL3,skew,curves_col,600
SL3__comp.Rmd,SL3,skew,comp,600
SL3__comp_col.Rmd,SL3,skew,comp_col,600
SL3__stk_air.Rmd,SL3,skew,stk_air,800
SL3__stk_air_col.Rmd,SL3,skew,stk_air_col,800
SL3__stk_gha.Rmd,SL3,skew,stk_gha,800
SL3__stk_gha_col.Rmd,SL3,skew,stk_gha_col,800
SL4__curves.Rmd,SL4,skew,curves,600
SL4__curves_col.Rmd,SL4,skew,curves_col,600
SL4__comp.Rmd,SL4,skew,comp,600
SL4__comp_col.Rmd,SL4,skew,comp_col,600
SL4__stk_air.Rmd,SL4,skew,stk_air,800
SL4__stk_air_col.Rmd,SL4,skew,stk_air_col,800
SL4__stk_gha.Rmd,SL4,skew,stk_gha,800
SL4__stk_gha_col.Rmd,SL4,skew,stk_gha_col,800
SL5__curves.Rmd,SL5,skew,curves,600
SL5__curves_col.Rmd,SL5,skew,curves_col,600
SL5__comp.Rmd,SL5,skew,comp,600
SL5__comp_col.Rmd,SL5,skew,comp_col,600
SL5__stk_air.Rmd,SL5,skew,stk_air,800
SL5__stk_air_col.Rmd,SL5,skew,stk_air_col,800
SL5__stk_gha.Rmd,SL5,skew,stk_gha,800
SL5__stk_gha_col.Rmd,SL5,skew,stk_gha_col,800
SL6__curves.Rmd,SL6,skew,curves,600
SL6__curves_col.Rmd,SL6,skew,curves_col,600
SL6__comp.Rmd,SL6,skew,comp,600
SL6__comp_col.Rmd,SL6,skew,comp_col,600
SL6__stk_air.Rmd,SL6,skew,stk_air,800
SL6__stk_air_col.Rmd,SL6,skew,stk_air_col,800
SL6__stk_gha.Rmd,SL6,skew,stk_gha,800
SL6__stk_gha_col.Rmd,SL6,skew,stk_gha_col,800
SL7__curves.Rmd,SL7,skew,curves,600
SL7__curves_col.Rmd,SL7,skew,curves_col,600
SL7__comp.Rmd,SL7,skew,comp,600
SL7__comp_col.Rmd,SL7,skew,comp_col,600
SL7__stk_air.Rmd,SL7,skew,stk_air,800
SL7__stk_air_col.Rmd,SL7,skew,stk_air_col,800
SL7__stk_gha.Rmd,SL7,skew,stk_gha,800
SL7__stk_gha_col.Rmd,SL7,skew,stk_gha_col,800
SL8__curves.Rmd,SL8,skew,curves,600
SL8__curves_col.Rmd,SL8,skew,curves_col,600
SL8__comp.Rmd,SL8,skew,comp,600
SL8__comp_col.Rmd,SL8,skew,comp_col,600
SL8__stk_air.Rmd,SL8,skew,stk_air,800
SL8__stk_air_col.Rmd,SL8,skew,stk_air_col,800
SL8__stk_gha.Rmd,SL8,skew,stk_gha,800
SL8__stk_gha_col.Rmd,SL8,skew,stk_gha_col,800
SL9__curves.Rmd,SL9,skew,curves,600
SL9__curves_col.Rmd,SL9,skew,curves_col,600
SL9__comp.Rmd,SL9,skew,comp,600
SL9__comp_col.Rmd,SL9,skew,comp_col,600
SL9__stk_air.Rmd,SL9,skew,stk_air,800
SL9__stk_air_col.Rmd,SL9,skew,stk_air_col,800
SL9__stk_gha.Rmd,SL9,skew,stk_gha,800
SL9__stk_gha_col.Rmd,SL9,skew,stk_gha_col,800
SL10__curves.Rmd,SL10,skew,curves,600
SL10__curves_col.Rmd,SL10,skew,curves_col,600
SL10__comp.Rmd,SL10,skew,comp,600
SL10__comp_col.Rmd,SL10,skew,comp_col,600
SL10__stk_air.Rmd,SL10,skew,stk_air,800
SL10__stk_air_col.Rmd,SL10,skew,stk_air_col,800
SL10__stk_gha.Rmd,SL10,skew,stk_gha,800
SL10__stk_gha_col.Rmd,SL10,skew,stk_gha_col,800
SL11__curves.Rmd,SL11,skew,curves,600
SL11__curves_col.Rmd,SL11,skew,curves_col,600
SL11__comp.Rmd,SL11,skew,comp,600
SL11__comp_col.Rmd,SL11,skew,comp_col,600
SL11__stk_air.Rmd,SL11,skew,stk_air,800
SL11__stk_air_col.Rmd,SL11,skew,stk_air_col,800
SL11__stk_gha.Rmd,SL11,skew,stk_gha,800
