S.no,Airline code,Flight Designator,SOBT,checkinopen,checkinclose,Routing,Traffic Type,Public Terminal,GHA,Seats,dest_iata,dest_city,dest_country,airline_name,airline_country
1,AI,AI 173,21-06-2026 0:05,20-06-2026 20:05,20-06-2026 23:05,DEL-CCU-SFO,INTERNATIONAL,Terminal 3,AISATS,288,SFO,San Francisco,United States,Air India,India
2,AI,AI 312,21-06-2026 0:05,20-06-2026 20:05,20-06-2026 23:05,DEL-ICN,INTERNATIONAL,Terminal 3,AISATS,259,ICN,Seoul,South Korea,Air India,India
3,VJ,VJ 972,21-06-2026 0:05,20-06-2026 20:05,20-06-2026 23:05,DEL-HAN,INTERNATIONAL,Terminal 3,BFS,377,HAN,Hanoi,Vietnam,VietJet Air,Vietnam
4,AI,AI 187,21-06-2026 0:10,20-06-2026 20:10,20-06-2026 23:10,DEL-VIE-YYZ,INTERNATIONAL,Terminal 3,AISATS,328,YYZ,Toronto,Canada,Air India,India
5,AI,AI 161,21-06-2026 0:30,20-06-2026 20:30,20-06-2026 23:30,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316,LHR,London,United Kingdom,Air India,India
6,AI,AI 2336,21-06-2026 0:30,20-06-2026 20:30,20-06-2026 23:30,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164,BKK,Bangkok,Thailand,Air India,India
7,AI,AI 2118,21-06-2026 0:40,20-06-2026 20:40,20-06-2026 23:40,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,188,SIN,Singapore,Singapore,Air India,India
8,AF,AF 283,21-06-2026 0:50,20-06-2026 20:50,20-06-2026 23:50,DEL-CDG,INTERNATIONAL,Terminal 3,BFS,328,CDG,Paris,France,Air France,France
9,AI,AI 302,21-06-2026 0:55,20-06-2026 20:55,20-06-2026 23:55,DEL-SYD,INTERNATIONAL,Terminal 3,AISATS,259,SYD,Sydney,Australia,Air India,India
10,AI,AI 277,21-06-2026 1:00,20-06-2026 21:00,21-06-2026 0:00,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,182,CMB,Colombo,Sri Lanka,Air India,India
11,LX,LX 147,21-06-2026 1:05,20-06-2026 21:05,21-06-2026 0:05,DEL-ZRH,INTERNATIONAL,Terminal 3,BFS,236,ZRH,Zurich,Switzerland,Swiss International Air Lines,Switzerland
12,CX,CX 694,21-06-2026 1:10,20-06-2026 21:10,21-06-2026 0:10,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,280,HKG,Hong Kong,Hong Kong,Cathay Pacific,Hong Kong
13,KC,KC 964,21-06-2026 1:10,20-06-2026 21:10,21-06-2026 0:10,DEL-ALA,INTERNATIONAL,Terminal 3,AISATS,179,ALA,Almaty,Kazakhstan,Air Astana,Kazakhstan
14,AI,AI 308,21-06-2026 1:15,20-06-2026 21:15,21-06-2026 0:15,DEL-MEL,INTERNATIONAL,Terminal 3,AISATS,259,MEL,Melbourne,Australia,Air India,India
15,AI,AI 2390,21-06-2026 1:20,20-06-2026 21:20,21-06-2026 0:20,DEL-HAN,INTERNATIONAL,Terminal 3,AISATS,164,HAN,Hanoi,Vietnam,Air India,India
16,AI,AI 2378,21-06-2026 1:25,20-06-2026 21:25,21-06-2026 0:25,DEL-HKT,INTERNATIONAL,Terminal 3,AISATS,164,HKT,Phuket,Thailand,Air India,India
17,BA,BA 142,21-06-2026 1:35,20-06-2026 21:35,21-06-2026 0:35,DEL-LHR,INTERNATIONAL,Terminal 3,Ramp 360,272,LHR,London,United Kingdom,British Airways,United Kingdom
18,LX,LX 2647,21-06-2026 1:40,20-06-2026 21:40,21-06-2026 0:40,DEL-ZRH,INTERNATIONAL,Terminal 3,BFS,235,ZRH,Zurich,Switzerland,Swiss International Air Lines,Switzerland
19,LH,LH 763,21-06-2026 1:45,20-06-2026 21:45,21-06-2026 0:45,DEL-MUC,INTERNATIONAL,Terminal 3,BFS,509,MUC,Munich,Germany,Lufthansa,Germany
20,AI,AI 4307,21-06-2026 2:00,20-06-2026 22:00,21-06-2026 1:00,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259,DXB,Dubai,United Arab Emirates,Air India,India
21,VS,VS 303,21-06-2026 2:05,20-06-2026 22:05,21-06-2026 1:05,DEL-LHR,INTERNATIONAL,Terminal 3,BFS,397,LHR,London,United Kingdom,Virgin Atlantic,United Kingdom
22,ET,ET 687,21-06-2026 2:30,20-06-2026 22:30,21-06-2026 1:30,DEL-ADD,INTERNATIONAL,Terminal 3,Ramp 360,315,ADD,Addis Ababa,Ethiopia,Ethiopian Airlines,Ethiopia
23,6E,6E 033,21-06-2026 2:40,20-06-2026 22:40,21-06-2026 1:40,DEL-MAN,INTERNATIONAL,Terminal 3,BFS,318,MAN,Manchester,United Kingdom,IndiGo,India
24,LH,LH 761,21-06-2026 2:50,20-06-2026 22:50,21-06-2026 1:50,DEL-FRA,INTERNATIONAL,Terminal 3,BFS,287,FRA,Frankfurt,Germany,Lufthansa,Germany
25,AI,AI 2147,21-06-2026 2:55,20-06-2026 22:55,21-06-2026 1:55,DEL-DPS,INTERNATIONAL,Terminal 3,AISATS,188,DPS,Denpasar (Bali),Indonesia,Air India,India
26,AZ,AZ 769,21-06-2026 3:00,20-06-2026 23:00,21-06-2026 2:00,DEL-FCO,INTERNATIONAL,Terminal 3,BFS,291,FCO,Rome,Italy,ITA Airways,Italy
27,KU,KU 382,21-06-2026 3:00,20-06-2026 23:00,21-06-2026 2:00,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,235,KWI,Kuwait City,Kuwait,Kuwait Airways,Kuwait
