entity_type,real_value,alias,note
airport,AUH,FQR,
airport,HEL,DUU,
airport,BSZ,JMC,
airport,CAN,FVT,
airport,SGN,NXQ,
airport,HKG,HBP,
airport,YYZ,UWY,
airport,IKA,WUY,
airport,NRT,VUI,
airport,CAI,KCJ,
airport,MED,VVH,
airport,KTM,WWC,
airport,JFK,AQE,
airport,ALA,JOR,
airport,BAH,PXI,
airport,CPH,GQF,
airport,PVG,ZCB,
airport,ATH,EBV,
airport,YVR,VPI,
airport,CDG,TDE,
airport,KBV,MPU,
airport,DOH,FAP,
airport,SHJ,RIO,
airport,MCT,QUK,
airport,FRA,ITC,
airport,SYD,AYH,
airport,RUH,DFH,
airport,MNL,SES,
airport,DPS,QCE,
airport,MEL,HXN,
airport,SFO,KTZ,
airport,KUL,VFQ,
airport,CMB,UNC,
airport,HAN,ZTO,
airport,KBL,RVH,
airport,BKK,XUH,
airport,HKT,XGF,
airport,BBI,RMJ,
airport,LHR,LRY,
airport,CCU,AZE,
airport,DMK,NFY,
airport,KWI,HKO,
airport,PBH,RUB,
airport,HND,OVT,
airport,GYD,VAZ,
airport,DXB,QDJ,
airport,DAC,KXG,
airport,MAN,RSR,
airport,MXP,ICX,
airport,FCO,VUT,
airport,PEK,HVQ,
airport,MUC,ESP,
airport,DMM,QHH,
airport,SVO,WFG,
airport,DEL,VMT,hub
airport,BHX,DZC,
airport,SIN,DKP,
airport,JED,UJO,
airport,TAS,DII,
airport,ADD,JPY,
airport,ZRH,YSI,
airport,AMS,CFX,
airport,TBS,WTC,
airport,WAW,DHX,
airport,VIE,ZDK,
airport,IST,YIX,
airport,ICN,TVH,
airport,EWR,USB,
airport,BGW,JDW,
airline_code,ET,Airline01,Ethiopian Airlines
airline_code,KB,Airline02,Drukair
airline_code,CA,Airline03,Air China
airline_code,MH,Airline04,Malaysia Airlines
airline_code,XJ,Airline05,Thai AirAsia X
airline_code,AF,Airline06,Air France
airline_code,TG,Airline07,Thai Airways
airline_code,FZ,Airline08,flydubai
airline_code,IA,Airline09,Iraqi Airways
airline_code,6E,Airline10,IndiGo
airline_code,LH,Airline11,Lufthansa
airline_code,NH,Airline12,All Nippon Airways
airline_code,QR,Airline13,Qatar Airways
airline_code,LO,Airline14,LOT Polish Airlines
airline_code,EY,Airline15,Etihad Airways
airline_code,D7,Airline16,AirAsia X
airline_code,SV,Airline17,Saudia
airline_code,JL,Airline18,Japan Airlines
airline_code,XY,Airline19,flynas
airline_code,AY,Airline20,Finnair
airline_code,UL,Airline21,SriLankan Airlines
airline_code,J9,Airline22,Jazeera Airways
airline_code,KC,Airline23,Air Astana
airline_code,J2,Airline24,Azerbaijan Airlines
airline_code,MU,Airline25,China Eastern Airlines
airline_code,VJ,Airline26,VietJet Air
airline_code,UA,Airline27,United Airlines
airline_code,AA,Airline28,American Airlines
airline_code,KE,Airline29,Korean Air
airline_code,K9,Airline30,Tez Jet Airlines
airline_code,RA,Airline31,Nepal Airlines
airline_code,FG,Airline32,Ariana Afghan Airlines
airline_code,G9,Airline33,Air Arabia
airline_code,KU,Airline34,Kuwait Airways
airline_code,VN,Airline35,Vietnam Airlines
airline_code,RQ,Airline36,Kam Air
airline_code,AI,Airline37,Air India
airline_code,WY,Airline38,Oman Air
airline_code,W5,Airline39,Mahan Air
airline_code,LX,Airline40,Swiss International Air Lines
airline_code,BA,Airline41,British Airways
airline_code,VS,Airline42,Virgin Atlantic
airline_code,EK,Airline43,Emirates
airline_code,OD,Airline44,Batik Air Malaysia
airline_code,IX,Airline45,Air India Express
airline_code,AZ,Airline46,ITA Airways
airline_code,C6,Airline47,Centrum Air
airline_code,SG,Airline48,SpiceJet
airline_code,TK,Airline49,Turkish Airlines
airline_code,B3,Airline50,Bhutan Airlines
airline_code,AC,Airline51,Air Canada
airline_code,SQ,Airline52,Singapore Airlines
airline_code,SU,Airline53,Aeroflot
airline_code,CX,Airline54,Cathay Pacific
airline_code,GF,Airline55,Gulf Air
airline_code,MS,Airline56,EgyptAir
airline_code,KL,Airline57,KLM
