S.no,Airline code,Flight Designator,SOBT,checkinopen,checkinclose,Routing,Traffic Type,GHA,Seats,dest_iata,dest_city,dest_country,airline_name,airline_country
1,Airline37,Airline37 18,DD-MM-YYYY 0:05,DD-1-MM-YYYY 20:05,DD-1-MM-YYYY 23:05,VMT-AZE-KTZ,INTERNATIONAL,GHA02,288,KTZ,City40,Country04,Airline37,Country05
2,Airline37,Airline37 39,DD-MM-YYYY 0:05,DD-1-MM-YYYY 20:05,DD-1-MM-YYYY 23:05,VMT-TVH,INTERNATIONAL,GHA02,259,TVH,City23,Country06,Airline37,Country05
3,Airline26,Airline26 01,DD-MM-YYYY 0:05,DD-1-MM-YYYY 20:05,DD-1-MM-YYYY 23:05,VMT-ZTO,INTERNATIONAL,GHA04,377,ZTO,City51,Country31,Airline26,Country31
4,Airline37,Airline37 23,DD-MM-YYYY 0:10,DD-1-MM-YYYY 20:10,DD-1-MM-YYYY 23:10,VMT-ZDK-UWY,INTERNATIONAL,GHA02,328,UWY,City43,Country28,Airline37,Country05
5,Airline37,Airline37 31,DD-MM-YYYY 0:30,DD-1-MM-YYYY 20:30,DD-1-MM-YYYY 23:30,VMT-LRY,INTERNATIONAL,GHA02,316,LRY,City30,Country08,Airline37,Country05
6,Airline37,Airline37 06,DD-MM-YYYY 0:30,DD-1-MM-YYYY 20:30,DD-1-MM-YYYY 23:30,VMT-XUH,INTERNATIONAL,GHA02,164,XUH,City10,Country46,Airline37,Country05
7,Airline37,Airline37 05,DD-MM-YYYY 0:40,DD-1-MM-YYYY 20:40,DD-1-MM-YYYY 23:40,VMT-DKP,INTERNATIONAL,GHA02,188,DKP,City22,Country40,Airline37,Country05
8,Airline06,Airline06 01,DD-MM-YYYY 0:50,DD-1-MM-YYYY 20:50,DD-1-MM-YYYY 23:50,VMT-TDE,INTERNATIONAL,GHA04,328,TDE,City15,Country32,Airline06,Country32
9,Airline37,Airline37 32,DD-MM-YYYY 0:55,DD-1-MM-YYYY 20:55,DD-1-MM-YYYY 23:55,VMT-AYH,INTERNATIONAL,GHA02,259,AYH,City34,Country21,Airline37,Country05
10,Airline37,Airline37 29,DD-MM-YYYY 1:00,DD-1-MM-YYYY 21:00,DD-MM-YYYY 0:00,VMT-UNC,INTERNATIONAL,GHA02,182,UNC,City27,Country12,Airline37,Country05
11,Airline40,Airline40 01,DD-MM-YYYY 1:05,DD-1-MM-YYYY 21:05,DD-MM-YYYY 0:05,VMT-YSI,INTERNATIONAL,GHA04,236,YSI,City48,Country34,Airline40,Country34
12,Airline54,Airline54 02,DD-MM-YYYY 1:10,DD-1-MM-YYYY 21:10,DD-MM-YYYY 0:10,VMT-HBP,INTERNATIONAL,GHA02,280,HBP,City42,Country02,Airline54,Country02
13,Airline23,Airline23 01,DD-MM-YYYY 1:10,DD-1-MM-YYYY 21:10,DD-MM-YYYY 0:10,VMT-JOR,INTERNATIONAL,GHA02,179,JOR,City20,Country38,Airline23,Country38
14,Airline37,Airline37 26,DD-MM-YYYY 1:15,DD-1-MM-YYYY 21:15,DD-MM-YYYY 0:15,VMT-HXN,INTERNATIONAL,GHA02,259,HXN,City16,Country21,Airline37,Country05
15,Airline37,Airline37 11,DD-MM-YYYY 1:20,DD-1-MM-YYYY 21:20,DD-MM-YYYY 0:20,VMT-ZTO,INTERNATIONAL,GHA02,164,ZTO,City51,Country31,Airline37,Country05
16,Airline37,Airline37 17,DD-MM-YYYY 1:25,DD-1-MM-YYYY 21:25,DD-MM-YYYY 0:25,VMT-XGF,INTERNATIONAL,GHA02,164,XGF,City01,Country46,Airline37,Country05
17,Airline41,Airline41 02,DD-MM-YYYY 1:35,DD-1-MM-YYYY 21:35,DD-MM-YYYY 0:35,VMT-LRY,INTERNATIONAL,GHA03,272,LRY,City30,Country08,Airline41,Country08
18,Airline40,Airline40 02,DD-MM-YYYY 1:40,DD-1-MM-YYYY 21:40,DD-MM-YYYY 0:40,VMT-YSI,INTERNATIONAL,GHA04,235,YSI,City48,Country34,Airline40,Country34
19,Airline11,Airline11 02,DD-MM-YYYY 1:45,DD-1-MM-YYYY 21:45,DD-MM-YYYY 0:45,VMT-ESP,INTERNATIONAL,GHA04,509,ESP,City54,Country27,Airline11,Country27
20,Airline37,Airline37 16,DD-MM-YYYY 2:00,DD-1-MM-YYYY 22:00,DD-MM-YYYY 1:00,VMT-QDJ,INTERNATIONAL,GHA02,259,QDJ,City02,Country43,Airline37,Country05
21,Airline42,Airline42 02,DD-MM-YYYY 2:05,DD-1-MM-YYYY 22:05,DD-MM-YYYY 1:05,VMT-LRY,INTERNATIONAL,GHA04,397,LRY,City30,Country08,Airline42,Country08
22,Airline01,Airline01 02,DD-MM-YYYY 2:30,DD-1-MM-YYYY 22:30,DD-MM-YYYY 1:30,VMT-JPY,INTERNATIONAL,GHA03,315,JPY,City24,Country01,Airline01,Country01
23,Airline10,Airline10 20,DD-MM-YYYY 2:40,DD-1-MM-YYYY 22:40,DD-MM-YYYY 1:40,VMT-RSR,INTERNATIONAL,GHA04,318,RSR,City14,Country08,Airline10,Country05
24,Airline11,Airline11 01,DD-MM-YYYY 2:50,DD-1-MM-YYYY 22:50,DD-MM-YYYY 1:50,VMT-ITC,INTERNATIONAL,GHA04,287,ITC,City52,Country27,Airline11,Country27
25,Airline37,Airline37 08,DD-MM-YYYY 2:55,DD-1-MM-YYYY 22:55,DD-MM-YYYY 1:55,VMT-QCE,INTERNATIONAL,GHA02,188,QCE,City62,Country44,Airline37,Country05
26,Airline46,Airline46 01,DD-MM-YYYY 3:00,DD-1-MM-YYYY 23:00,DD-MM-YYYY 2:00,VMT-VUT,INTERNATIONAL,GHA04,291,VUT,City19,Country33,Airline46,Country33
27,Airline34,Airline34 02,DD-MM-YYYY 3:00,DD-1-MM-YYYY 23:00,DD-MM-YYYY 2:00,VMT-HKO,INTERNATIONAL,GHA04,235,HKO,City35,Country18,Airline34,Country18
28,Airline37,Airline37 47,DD-MM-YYYY 3:05,DD-1-MM-YYYY 23:05,DD-MM-YYYY 2:05,VMT-ITC,INTERNATIONAL,GHA02,299,ITC,City52,Country27,Airline37,Country05
29,Airline07,Airline07 03,DD-MM-YYYY 3:20,DD-1-MM-YYYY 23:20,DD-MM-YYYY 2:20,VMT-XUH,INTERNATIONAL,GHA04,321,XUH,City10,Country46,Airline07,Country46
30,Airline13,Airline13 01,DD-MM-YYYY 3:25,DD-1-MM-YYYY 23:25,DD-MM-YYYY 2:25,VMT-FAP,INTERNATIONAL,GHA03,283,FAP,City31,Country25,Airline13,Country25
31,Airline37,Airline37 10,DD-MM-YYYY 3:35,DD-1-MM-YYYY 23:35,DD-MM-YYYY 2:35,VMT-DKP,INTERNATIONAL,GHA02,188,DKP,City22,Country40,Airline37,Country05
32,Airline37,Airline37 30,DD-MM-YYYY 3:55,DD-1-MM-YYYY 23:55,DD-MM-YYYY 2:55,VMT-VPI,INTERNATIONAL,GHA02,342,VPI,City33,Country28,Airline37,Country05
33,Airline57,Airline57 01,DD-MM-YYYY 3:55,DD-1-MM-YYYY 23:55,DD-MM-YYYY 2:55,VMT-CFX,INTERNATIONAL,GHA04,318,CFX,City28,Country41,Airline57,Country41
34,Airline08,Airline08 01,DD-MM-YYYY 4:10,DD-MM-YYYY 0:10,DD-MM-YYYY 3:10,VMT-QDJ,INTERNATIONAL,GHA02,174,QDJ,City02,Country43,Airline08,Country43
35,Airline19,Airline19 01,DD-MM-YYYY 4:15,DD-MM-YYYY 0:15,DD-MM-YYYY 3:15,VMT-DFH,INTERNATIONAL,GHA02,174,DFH,City36,Country15,Airline19,Country15
36,Airline10,Airline10 24,DD-MM-YYYY 4:20,DD-MM-YYYY 0:20,DD-MM-YYYY 3:20,VMT-NXQ,INTERNATIONAL,GHA04,186,NXQ,City25,Country31,Airline10,Country05
37,Airline43,Airline43 03,DD-MM-YYYY 4:25,DD-MM-YYYY 0:25,DD-MM-YYYY 3:25,VMT-QDJ,INTERNATIONAL,GHA02,360,QDJ,City02,Country43,Airline43,Country43
38,Airline37,Airline37 49,DD-MM-YYYY 4:30,DD-MM-YYYY 0:30,DD-MM-YYYY 3:30,VMT-WWC,INTERNATIONAL,GHA02,150,WWC,City37,Country42,Airline37,Country05
39,Airline37,Airline37 02,DD-MM-YYYY 4:35,DD-MM-YYYY 0:35,DD-MM-YYYY 3:35,VMT-LRY,INTERNATIONAL,GHA02,299,LRY,City30,Country08,Airline37,Country05
40,Airline18,Airline18 01,DD-MM-YYYY 4:35,DD-MM-YYYY 0:35,DD-MM-YYYY 3:35,VMT-VUI,INTERNATIONAL,GHA04,206,VUI,City55,Country20,Airline18,Country20
41,Airline33,Airline33 02,DD-MM-YYYY 4:40,DD-MM-YYYY 0:40,DD-MM-YYYY 3:40,VMT-RIO,INTERNATIONAL,GHA04,168,RIO,City50,Country43,Airline33,Country43
42,Airline15,Airline15 03,DD-MM-YYYY 4:50,DD-MM-YYYY 0:50,DD-MM-YYYY 3:50,VMT-FQR,INTERNATIONAL,GHA02,370,FQR,City59,Country43,Airline15,Country43
43,Airline55,Airline55 02,DD-MM-YYYY 4:55,DD-MM-YYYY 0:55,DD-MM-YYYY 3:55,VMT-PXI,INTERNATIONAL,GHA04,166,PXI,City46,Country35,Airline55,Country35
44,Airline10,Airline10 01,DD-MM-YYYY 5:00,DD-MM-YYYY 1:00,DD-MM-YYYY 4:00,VMT-ZTO,INTERNATIONAL,GHA04,232,ZTO,City51,Country31,Airline10,Country05
45,Airline37,Airline37 20,DD-MM-YYYY 5:05,DD-MM-YYYY 1:05,DD-MM-YYYY 4:05,VMT-QDJ,INTERNATIONAL,GHA02,164,QDJ,City02,Country43,Airline37,Country05
46,Airline24,Airline24 01,DD-MM-YYYY 5:10,DD-MM-YYYY 1:10,DD-MM-YYYY 4:10,VMT-VAZ,INTERNATIONAL,GHA03,186,VAZ,City39,Country14,Airline24,Country14
47,Airline10,Airline10 21,DD-MM-YYYY 5:10,DD-MM-YYYY 1:10,DD-MM-YYYY 4:10,VMT-XGF,INTERNATIONAL,GHA04,232,XGF,City01,Country46,Airline10,Country05
48,Airline21,Airline21 02,DD-MM-YYYY 5:15,DD-MM-YYYY 1:15,DD-MM-YYYY 4:15,VMT-UNC,INTERNATIONAL,GHA04,200,UNC,City27,Country12,Airline21,Country12
49,Airline34,Airline34 01,DD-MM-YYYY 6:05,DD-MM-YYYY 2:05,DD-MM-YYYY 5:05,VMT-HKO,INTERNATIONAL,GHA04,235,HKO,City35,Country18,Airline34,Country18
50,Airline10,Airline10 28,DD-MM-YYYY 6:15,DD-MM-YYYY 2:15,DD-MM-YYYY 5:15,VMT-HBP,INTERNATIONAL,GHA04,186,HBP,City42,Country02,Airline10,Country05
51,Airline49,Airline49 01,DD-MM-YYYY 6:30,DD-MM-YYYY 2:30,DD-MM-YYYY 5:30,VMT-YIX,INTERNATIONAL,GHA03,400,YIX,City63,Country17,Airline49,Country17
52,Airline10,Airline10 04,DD-MM-YYYY 6:40,DD-MM-YYYY 2:40,DD-MM-YYYY 5:40,VMT-RMJ-QCE,INTERNATIONAL,GHA04,186,QCE,City62,Country44,Airline10,Country05
53,Airline10,Airline10 15,DD-MM-YYYY 6:50,DD-MM-YYYY 2:50,DD-MM-YYYY 5:50,VMT-XUH,INTERNATIONAL,GHA04,220,XUH,City10,Country46,Airline10,Country05
54,Airline10,Airline10 07,DD-MM-YYYY 6:50,DD-MM-YYYY 2:50,DD-MM-YYYY 5:50,VMT-MPU,INTERNATIONAL,GHA04,186,MPU,City58,Country46,Airline10,Country05
55,Airline37,Airline37 36,DD-MM-YYYY 7:00,DD-MM-YYYY 3:00,DD-MM-YYYY 6:00,VMT-WWC,INTERNATIONAL,GHA02,150,WWC,City37,Country42,Airline37,Country05
56,Airline10,Airline10 25,DD-MM-YYYY 7:30,DD-MM-YYYY 3:30,DD-MM-YYYY 6:30,VMT-EBV,INTERNATIONAL,GHA04,195,EBV,City11,Country24,Airline10,Country05
57,Airline20,Airline20 01,DD-MM-YYYY 7:40,DD-MM-YYYY 3:40,DD-MM-YYYY 6:40,VMT-DUU,INTERNATIONAL,GHA04,279,DUU,City04,Country37,Airline20,Country37
58,Airline10,Airline10 06,DD-MM-YYYY 7:45,DD-MM-YYYY 3:45,DD-MM-YYYY 6:45,VMT-YIX,INTERNATIONAL,GHA04,195,YIX,City63,Country17,Airline10,Country05
59,Airline22,Airline22 01,DD-MM-YYYY 7:45,DD-MM-YYYY 3:45,DD-MM-YYYY 6:45,VMT-HKO,INTERNATIONAL,GHA03,174,HKO,City35,Country18,Airline22,Country18
60,Airline48,Airline48 01,DD-MM-YYYY 7:45,DD-MM-YYYY 3:45,DD-MM-YYYY 6:45,VMT-QDJ,INTERNATIONAL,GHA04,189,QDJ,City02,Country43,Airline48,Country05
61,Airline53,Airline53 01,DD-MM-YYYY 7:50,DD-MM-YYYY 3:50,DD-MM-YYYY 6:50,VMT-WFG,INTERNATIONAL,GHA01,402,WFG,City05,Country07,Airline53,Country07
62,Airline10,Airline10 16,DD-MM-YYYY 8:00,DD-MM-YYYY 4:00,DD-MM-YYYY 7:00,VMT-WWC,INTERNATIONAL,GHA04,186,WWC,City37,Country42,Airline10,Country05
63,Airline14,Airline14 01,DD-MM-YYYY 8:00,DD-MM-YYYY 4:00,DD-MM-YYYY 7:00,VMT-DHX,INTERNATIONAL,GHA02,252,DHX,City07,Country39,Airline14,Country39
64,Airline37,Airline37 50,DD-MM-YYYY 8:25,DD-MM-YYYY 4:25,DD-MM-YYYY 7:25,VMT-XUH,INTERNATIONAL,GHA02,164,XUH,City10,Country46,Airline37,Country05
65,Airline45,Airline45 03,DD-MM-YYYY 8:25,DD-MM-YYYY 4:25,DD-MM-YYYY 7:25,VMT-FQR,INTERNATIONAL,GHA02,180,FQR,City59,Country43,Airline45,Country05
66,Airline10,Airline10 12,DD-MM-YYYY 8:35,DD-MM-YYYY 4:35,DD-MM-YYYY 7:35,VMT-QDJ,INTERNATIONAL,GHA04,186,QDJ,City02,Country43,Airline10,Country05
67,Airline38,Airline38 02,DD-MM-YYYY 8:55,DD-MM-YYYY 4:55,DD-MM-YYYY 7:55,VMT-QUK,INTERNATIONAL,GHA04,162,QUK,City32,Country16,Airline38,Country16
68,Airline52,Airline52 01,DD-MM-YYYY 9:00,DD-MM-YYYY 5:00,DD-MM-YYYY 8:00,VMT-DKP,INTERNATIONAL,GHA02,337,DKP,City22,Country40,Airline52,Country40
69,Airline10,Airline10 29,DD-MM-YYYY 9:05,DD-MM-YYYY 5:05,DD-MM-YYYY 8:05,VMT-DKP,INTERNATIONAL,GHA04,222,DKP,City22,Country40,Airline10,Country05
70,Airline15,Airline15 02,DD-MM-YYYY 9:25,DD-MM-YYYY 5:25,DD-MM-YYYY 8:25,VMT-FQR,INTERNATIONAL,GHA02,158,FQR,City59,Country43,Airline15,Country43
71,Airline39,Airline39 01,DD-MM-YYYY 9:30,DD-MM-YYYY 5:30,DD-MM-YYYY 8:30,VMT-WUY,INTERNATIONAL,GHA02,308,WUY,City17,Country26,Airline39,Country26
72,Airline01,Airline01 01,DD-MM-YYYY 9:35,DD-MM-YYYY 5:35,DD-MM-YYYY 8:35,VMT-JPY,INTERNATIONAL,GHA03,315,JPY,City24,Country01,Airline01,Country01
73,Airline37,Airline37 21,DD-MM-YYYY 9:50,DD-MM-YYYY 5:50,DD-MM-YYYY 8:50,VMT-QDJ,INTERNATIONAL,GHA02,164,QDJ,City02,Country43,Airline37,Country05
74,Airline41,Airline41 01,DD-MM-YYYY 10:05,DD-MM-YYYY 6:05,DD-MM-YYYY 9:05,VMT-LRY,INTERNATIONAL,GHA03,204,LRY,City30,Country08,Airline41,Country08
75,Airline13,Airline13 02,DD-MM-YYYY 10:25,DD-MM-YYYY 6:25,DD-MM-YYYY 9:25,VMT-FAP,INTERNATIONAL,GHA03,254,FAP,City31,Country25,Airline13,Country25
76,Airline37,Airline37 13,DD-MM-YYYY 10:35,DD-MM-YYYY 6:35,DD-MM-YYYY 9:35,VMT-QDJ,INTERNATIONAL,GHA02,259,QDJ,City02,Country43,Airline37,Country05
77,Airline37,Airline37 04,DD-MM-YYYY 10:45,DD-MM-YYYY 6:45,DD-MM-YYYY 9:45,VMT-TDE,INTERNATIONAL,GHA02,259,TDE,City15,Country32,Airline37,Country05
78,Airline37,Airline37 09,DD-MM-YYYY 10:50,DD-MM-YYYY 6:50,DD-MM-YYYY 9:50,VMT-DZC,INTERNATIONAL,GHA02,259,DZC,City41,Country08,Airline37,Country05
79,Airline10,Airline10 27,DD-MM-YYYY 10:50,DD-MM-YYYY 6:50,DD-MM-YYYY 9:50,VMT-LRY,INTERNATIONAL,GHA04,338,LRY,City30,Country08,Airline10,Country05
80,Airline50,Airline50 01,DD-MM-YYYY 10:55,DD-MM-YYYY 6:55,DD-MM-YYYY 9:55,VMT-WWC-RUB,INTERNATIONAL,GHA04,126,RUB,City38,Country30,Airline50,Country30
81,Airline30,Airline30 01,DD-MM-YYYY 10:55,DD-MM-YYYY 6:55,DD-MM-YYYY 9:55,VMT-JMC,INTERNATIONAL,GHA02,164,JMC,City08,Country10,Airline30,Country10
82,Airline37,Airline37 46,DD-MM-YYYY 11:00,DD-MM-YYYY 7:00,DD-MM-YYYY 10:00,VMT-XUH,INTERNATIONAL,GHA02,164,XUH,City10,Country46,Airline37,Country05
83,Airline43,Airline43 01,DD-MM-YYYY 11:00,DD-MM-YYYY 7:00,DD-MM-YYYY 10:00,VMT-QDJ,INTERNATIONAL,GHA02,360,QDJ,City02,Country43,Airline43,Country43
