DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats
21-06-2026,AF,AF 283,0:50,0,DEL-CDG,INTERNATIONAL,Terminal 3,BFS,328
21-06-2026,AI,AI 161,0:30,0,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316
21-06-2026,AI,AI 173,0:05,0,DEL-CCU-SFO,INTERNATIONAL,Terminal 3,AISATS,288
21-06-2026,AI,AI 187,0:10,0,DEL-VIE-YYZ,INTERNATIONAL,Terminal 3,AISATS,328
21-06-2026,AI,AI 2118,0:40,0,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,AI,AI 2336,0:30,0,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,AI,AI 302,0:55,0,DEL-SYD,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 312,0:05,0,DEL-ICN,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,VJ,VJ 972,0:05,0,DEL-HAN,INTERNATIONAL,Terminal 3,BFS,377
21-06-2026,AI,AI 2378,1:25,1,DEL-HKT,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,AI,AI 2390,1:20,1,DEL-HAN,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,AI,AI 277,1:00,1,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,182
21-06-2026,AI,AI 308,1:15,1,DEL-MEL,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,BA,BA 142,1:35,1,DEL-LHR,INTERNATIONAL,Terminal 3,Ramp 360,272
21-06-2026,CX,CX 694,1:10,1,DEL-HKG,INTERNATIONAL,Terminal 3,AISATS,280
21-06-2026,LH,LH 763,1:45,1,DEL-MUC,INTERNATIONAL,Terminal 3,BFS,509
21-06-2026,KC,KC 964,1:10,1,DEL-ALA,INTERNATIONAL,Terminal 3,AISATS,179
21-06-2026,LX,LX 147,1:05,1,DEL-ZRH,INTERNATIONAL,Terminal 3,BFS,236
21-06-2026,LX,LX 2647,1:40,1,DEL-ZRH,INTERNATIONAL,Terminal 3,BFS,235
21-06-2026,AI,AI 2147,2:55,2,DEL-DPS,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,AI,AI 4307,2:00,2,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,LH,LH 761,2:50,2,DEL-FRA,INTERNATIONAL,Terminal 3,BFS,287
21-06-2026,ET,ET 687,2:30,2,DEL-ADD,INTERNATIONAL,Terminal 3,Ramp 360,315
21-06-2026,6E,6E 033,2:40,2,DEL-MAN,INTERNATIONAL,Terminal 3,BFS,318
21-06-2026,VS,VS 303,2:05,2,DEL-LHR,INTERNATIONAL,Terminal 3,BFS,397
21-06-2026,AI,AI 185,3:55,3,DEL-YVR,INTERNATIONAL,Terminal 3,AISATS,342
21-06-2026,AI,AI 2025,3:05,3,DEL-FRA,INTERNATIONAL,Terminal 3,AISATS,299
21-06-2026,AI,AI 2115,3:35,3,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,AZ,AZ 769,3:00,3,DEL-FCO,INTERNATIONAL,Terminal 3,BFS,291
21-06-2026,KU,KU 382,3:00,3,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,235
21-06-2026,KL,KL 872,3:55,3,DEL-AMS,INTERNATIONAL,Terminal 3,BFS,318
21-06-2026,QR,QR 579,3:25,3,DEL-DOH,INTERNATIONAL,Terminal 3,Ramp 360,283
21-06-2026,TG,TG 332,3:20,3,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,321
21-06-2026,G9,G9 464,4:40,4,DEL-SHJ,INTERNATIONAL,Terminal 3,BFS,168
21-06-2026,AI,AI 111,4:35,4,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,299
21-06-2026,AI,AI 215,4:30,4,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150
21-06-2026,EY,EY 219,4:50,4,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,370
21-06-2026,FZ,FZ 442,4:10,4,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,174
21-06-2026,GF,GF 131,4:55,4,DEL-BAH,INTERNATIONAL,Terminal 3,BFS,166
21-06-2026,6E,6E 1635,4:20,4,DEL-SGN,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,JL,JL 740,4:35,4,DEL-NRT,INTERNATIONAL,Terminal 3,BFS,206
21-06-2026,XY,XY 330,4:15,4,DEL-RUH,INTERNATIONAL,Terminal 3,AISATS,174
21-06-2026,EK,EK 513,4:25,4,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360
21-06-2026,J2,J2 058,5:10,5,DEL-GYD,INTERNATIONAL,Terminal 3,Ramp 360,186
21-06-2026,AI,AI 4305,5:05,5,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,UL,UL 192,5:15,5,DEL-CMB,INTERNATIONAL,Terminal 3,BFS,200
21-06-2026,6E,6E 1073,5:10,5,DEL-HKT,INTERNATIONAL,Terminal 3,BFS,232
21-06-2026,6E,6E 1633,5:00,5,DEL-HAN,INTERNATIONAL,Terminal 3,BFS,232
21-06-2026,6E,6E 1063,6:50,6,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,220
21-06-2026,6E,6E 1069,6:50,6,DEL-KBV,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,6E,6E 1611,6:40,6,DEL-BBI-DPS,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,6E,6E 1721,6:15,6,DEL-HKG,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,KU,KU 384,6:05,6,DEL-KWI,INTERNATIONAL,Terminal 3,BFS,235
21-06-2026,TK,TK 717,6:30,6,DEL-IST,INTERNATIONAL,Terminal 3,Ramp 360,400
21-06-2026,SU,SU 233,7:50,7,DEL-SVO,INTERNATIONAL,Terminal 3,AIESL,402
21-06-2026,AI,AI 213,7:00,7,DEL-KTM,INTERNATIONAL,Terminal 3,AISATS,150
21-06-2026,AY,AY 122,7:40,7,DEL-HEL,INTERNATIONAL,Terminal 3,BFS,279
21-06-2026,6E,6E 011,7:45,7,DEL-IST,INTERNATIONAL,Terminal 3,BFS,195
21-06-2026,6E,6E 1901,7:30,7,DEL-ATH,INTERNATIONAL,Terminal 3,BFS,195
21-06-2026,J9,J9 410,7:45,7,DEL-KWI,INTERNATIONAL,Terminal 3,Ramp 360,174
21-06-2026,SG,SG 5111,7:45,7,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,189
21-06-2026,AI,AI 2355,8:25,8,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,IX,IX 179,8:25,8,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,180
21-06-2026,6E,6E 1151,8:00,8,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,6E,6E 1461,8:35,8,DEL-DXB,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,LO,LO 072,8:00,8,DEL-WAW,INTERNATIONAL,Terminal 3,AISATS,252
21-06-2026,WY,WY 242,8:55,8,DEL-MCT,INTERNATIONAL,Terminal 3,BFS,162
21-06-2026,AI,AI 917,9:50,9,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,EY,EY 213,9:25,9,DEL-AUH,INTERNATIONAL,Terminal 3,AISATS,158
21-06-2026,ET,ET 689,9:35,9,DEL-ADD,INTERNATIONAL,Terminal 3,Ramp 360,315
21-06-2026,6E,6E 1013,9:05,9,DEL-SIN,INTERNATIONAL,Terminal 3,BFS,222
21-06-2026,W5,W5 070,9:30,9,DEL-IKA,INTERNATIONAL,Terminal 3,AISATS,308
21-06-2026,SQ,SQ 401,9:00,9,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,337
21-06-2026,AI,AI 113,10:50,10,DEL-BHX,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 143,10:45,10,DEL-CDG,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 4209,10:35,10,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,BA,BA 256,10:05,10,DEL-LHR,INTERNATIONAL,Terminal 3,Ramp 360,204
21-06-2026,B3,B3 774,10:55,10,DEL-KTM-PBH,INTERNATIONAL,Terminal 3,BFS,126
21-06-2026,6E,6E 003,10:50,10,DEL-LHR,INTERNATIONAL,Terminal 3,BFS,338
21-06-2026,QR,QR 571,10:25,10,DEL-DOH,INTERNATIONAL,Terminal 3,Ramp 360,254
21-06-2026,K9,K9 1602,10:55,10,DEL-BSZ,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,AI,AI 155,11:15,11,DEL-AMS,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 2332,11:00,11,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164
21-06-2026,AI,AI 237,11:10,11,DEL-DAC,INTERNATIONAL,Terminal 3,AISATS,150
21-06-2026,6E,6E 1153,11:10,11,DEL-KTM,INTERNATIONAL,Terminal 3,BFS,186
21-06-2026,KC,KC 908,11:35,11,DEL-ALA,INTERNATIONAL,Terminal 3,AISATS,179
21-06-2026,SV,SV 757,11:25,11,DEL-JED,INTERNATIONAL,Terminal 3,AISATS,445
21-06-2026,TG,TG 324,11:40,11,DEL-BKK,INTERNATIONAL,Terminal 3,BFS,264
21-06-2026,EK,EK 511,11:00,11,DEL-DXB,INTERNATIONAL,Terminal 3,AISATS,360
21-06-2026,VS,VS 301,11:10,11,DEL-LHR,INTERNATIONAL,Terminal 3,BFS,397
21-06-2026,AI,AI 137,12:50,12,DEL-MXP,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 151,12:15,12,DEL-ZRH,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 157,12:15,12,DEL-CPH,INTERNATIONAL,Terminal 3,AISATS,256
21-06-2026,AI,AI 2017,12:05,12,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316
21-06-2026,AI,AI 2029,12:20,12,DEL-FRA,INTERNATIONAL,Terminal 3,AISATS,259
21-06-2026,AI,AI 2362,12:25,12,DEL-MNL,INTERNATIONAL,Terminal 3,AISATS,188
21-06-2026,AI,AI 281,12:40,12,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,182
21-06-2026,KB,KB 201,12:30,12,DEL-PBH,INTERNATIONAL,Terminal 3,BFS,118
21-06-2026,6E,6E 1103,12:35,12,DEL-DAC,INTERNATIONAL,Terminal 3,BFS,232
21-06-2026,C6,C6 558,12:10,12,DEL-TAS,INTERNATIONAL,Terminal 3,BFS,180
