grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min
airline,N1,r200,20,57,164,874,86,140418
airline,N1,r180,20,57,150,799,78,128340
airline,N1,r200,40,57,161,794,80,142415
airline,N1,r180,40,57,146,723,72,129738
airline,N2,r200,20,57,165,884,81,140420
airline,N2,r180,20,57,150,799,73,128184
airline,N2,r200,40,57,161,808,78,142265
airline,N2,r180,40,57,146,730,70,129620
airline,N3,r200,20,57,138,534,61,146510
airline,N3,r180,20,57,128,485,55,135083
airline,N3,r200,40,57,135,484,60,149936
airline,N3,r180,40,57,123,439,54,137584
airline,N4,r200,20,57,214,1478,109,137191
airline,N4,r180,20,57,194,1334,98,124637
airline,N4,r200,40,57,197,1220,96,138584
airline,N4,r180,40,57,178,1099,87,125816
airline,N5,r200,20,57,169,884,82,140266
airline,N5,r180,20,57,153,802,74,128015
airline,N5,r200,40,57,165,804,78,142004
airline,N5,r180,40,57,149,724,70,129307
airline,N6,r200,20,57,148,660,68,143593
airline,N6,r180,20,57,134,600,61,131820
airline,N6,r200,40,57,145,598,65,146353
airline,N6,r180,40,57,132,547,59,133893
airline,N7,r200,20,57,136,526,59,146439
airline,N7,r180,20,57,126,481,53,134960
airline,N7,r200,40,57,136,486,57,149403
airline,N7,r180,40,57,123,436,51,137064
airline,N8,r200,20,57,216,1469,102,137143
airline,N8,r180,20,57,194,1326,92,124551
airline,N8,r200,40,57,200,1218,93,138442
airline,N8,r180,40,57,181,1105,84,125568
airline,N9,r200,20,57,143,653,69,143500
airline,N9,r180,20,57,131,596,63,131695
airline,N9,r200,40,57,143,600,67,146190
airline,N9,r180,40,57,130,547,60,133856
airline,N10,r200,20,57,216,1482,109,137082
airline,N10,r180,20,57,196,1337,98,124498
airline,N10,r200,40,57,200,1223,94,138159
airline,N10,r180,40,57,181,1106,85,125382
airline,N11,r200,20,57,172,877,82,140453
airline,N11,r180,20,57,155,798,74,128294
airline,N11,r200,40,57,166,791,78,142266
airline,N11,r180,40,57,150,721,70,129637
airline,N12,r200,20,57,147,648,68,143381
airline,N12,r180,20,57,134,590,61,131624
airline,N12,r200,40,57,145,591,65,145823
airline,N12,r180,40,57,134,537,59,133328
airline,N13,r200,20,57,144,535,60,146211
airline,N13,r180,20,57,130,489,54,134795
airline,N13,r200,40,57,139,491,58,149227
airline,N13,r180,40,57,125,440,52,137032
airline,U1,r200,20,57,143,433,54,141896
airline,U1,r180,20,57,131,395,49,130173
airline,U1,r200,40,57,141,389,52,143615
airline,U1,r180,40,57,128,355,47,131151
airline,EG0,r200,20,57,148,753,71,141865
airline,EG0,r180,20,57,136,679,64,130272
airline,EG0,r200,40,57,149,670,68,143806
airline,EG0,r180,40,57,134,602,61,131481
