grouping,model,regime,target_min,n_groups,airport_peak,sum_group_peaks,max_single_group,total_counter_min,supply,feasible_168
flight,N1,r200,20,164,171,1958,23,146353,168,False
flight,N1,r180,20,164,159,1785,21,134965,168,True
flight,N1,r200,40,164,171,1762,22,150113,168,False
flight,N1,r180,40,164,156,1595,20,137845,168,True
flight,N2,r200,20,164,171,1965,25,146234,168,False
flight,N2,r180,20,164,156,1779,22,134698,168,True
flight,N2,r200,40,164,171,1773,23,149864,168,False
flight,N2,r180,40,164,155,1608,21,137639,168,True
flight,N3,r200,20,164,148,1142,14,158617,168,True
flight,N3,r180,20,164,139,1046,13,148511,168,True
flight,N3,r200,40,164,149,1021,13,165426,168,True
flight,N3,r180,40,164,138,931,11,153810,168,True
flight,N4,r200,20,164,217,3456,42,140012,168,False
flight,N4,r180,20,164,196,3122,38,127789,168,False
flight,N4,r200,40,164,202,2811,35,142553,168,False
flight,N4,r180,40,164,182,2543,31,129989,168,False
flight,N5,r200,20,164,176,1972,24,146195,168,False
flight,N5,r180,20,164,160,1791,21,134655,168,True
flight,N5,r200,40,164,172,1781,22,149718,168,False
flight,N5,r180,40,164,158,1609,20,137442,168,True
flight,N6,r200,20,164,155,1423,18,152562,168,True
flight,N6,r180,20,164,143,1299,17,141867,168,True
flight,N6,r200,40,164,155,1281,16,157855,168,True
flight,N6,r180,40,164,145,1172,15,145843,168,True
flight,N7,r200,20,164,146,1140,13,158767,168,True
flight,N7,r180,20,164,136,1044,12,148758,168,True
flight,N7,r200,40,164,150,1028,13,165138,168,True
flight,N7,r180,40,164,137,934,12,153551,168,True
flight,N8,r200,20,164,218,3443,42,139934,168,False
flight,N8,r180,20,164,197,3112,38,127600,168,False
flight,N8,r200,40,164,205,2814,35,142358,168,False
flight,N8,r180,40,164,187,2543,32,129687,168,False
flight,N9,r200,20,164,152,1425,17,152405,168,True
flight,N9,r180,20,164,140,1297,16,141651,168,True
flight,N9,r200,40,164,155,1287,16,157568,168,True
flight,N9,r180,40,164,142,1177,14,145708,168,True
flight,N10,r200,20,164,218,3459,44,139781,168,False
flight,N10,r180,20,164,199,3122,39,127526,168,False
flight,N10,r200,40,164,204,2815,36,142053,168,False
flight,N10,r180,40,164,187,2543,32,129478,168,False
flight,N11,r200,20,164,180,1986,25,146196,168,False
flight,N11,r180,20,164,163,1802,22,134698,168,True
flight,N11,r200,40,164,174,1780,22,149844,168,False
flight,N11,r180,40,164,159,1621,20,137492,168,True
flight,N12,r200,20,164,154,1416,17,152510,168,True
flight,N12,r180,20,164,143,1289,15,141742,168,True
flight,N12,r200,40,164,154,1281,15,157381,168,True
flight,N12,r180,40,164,143,1173,14,145528,168,True
flight,N13,r200,20,164,156,1144,15,158742,168,True
flight,N13,r180,20,164,142,1050,14,148583,168,True
flight,N13,r200,40,164,152,1038,14,165124,168,True
flight,N13,r180,40,164,141,938,13,153686,168,True
flight,U1,r200,20,164,152,891,10,149700,168,True
flight,U1,r180,20,164,137,826,9,138905,168,True
flight,U1,r200,40,164,152,793,9,153106,168,True
flight,U1,r180,40,164,138,720,8,141153,168,True
flight,EG0,r200,20,164,157,1662,21,149764,168,True
flight,EG0,r180,20,164,144,1511,19,139259,168,True
flight,EG0,r200,40,164,159,1456,18,153446,168,True
flight,EG0,r180,40,164,144,1320,16,141699,168,True
flight,EG1,r200,20,164,147,1189,15,149725,168,True
flight,EG1,r180,20,164,137,1086,13,139359,168,True
flight,EG1,r200,40,164,149,1049,13,153120,168,True
flight,EG1,r180,40,164,137,966,12,141581,168,True
flight,EG2,r200,20,164,149,1074,12,149791,168,True
flight,EG2,r180,20,164,137,980,11,138955,168,True
flight,EG2,r200,40,164,150,942,11,153061,168,True
flight,EG2,r180,40,164,137,863,10,141055,168,True
flight,EG3,r200,20,164,175,2691,35,149198,168,False
flight,EG3,r180,20,164,160,2437,31,137962,168,True
flight,EG3,r200,40,164,175,2170,29,153913,168,False
flight,EG3,r180,40,164,159,1966,26,141838,168,True
flight,EG4,r200,20,164,219,4183,55,142558,168,False
flight,EG4,r180,20,164,199,3778,50,130592,168,False
flight,EG4,r200,40,164,203,2915,38,146141,168,False
flight,EG4,r180,40,164,184,2640,34,133638,168,False
flight,EG5,r200,20,164,246,5730,76,138194,168,False
flight,EG5,r180,20,164,227,5174,68,125772,168,False
flight,EG5,r200,40,164,226,3324,42,140718,168,False
flight,EG5,r180,40,164,204,2993,38,127928,168,False
flight,ED0,r200,20,164,169,1668,21,149627,168,False
flight,ED0,r180,20,164,157,1516,19,139159,168,True
flight,ED0,r200,40,164,161,1449,19,152588,168,True
flight,ED0,r180,40,164,148,1321,17,140905,168,True
flight,ED1,r200,20,164,149,1195,15,149661,168,True
flight,ED1,r180,20,164,138,1090,13,139116,168,True
flight,ED1,r200,40,164,148,1058,13,152913,168,True
flight,ED1,r180,40,164,137,957,12,141132,168,True
flight,ED2,r200,20,164,147,1048,12,149637,168,True
flight,ED2,r180,20,164,137,964,11,139008,168,True
flight,ED2,r200,40,164,146,933,11,152646,168,True
flight,ED2,r180,40,164,134,843,10,140941,168,True
flight,ED3,r200,20,164,196,2685,32,148620,168,False
flight,ED3,r180,20,164,183,2427,29,137539,168,False
flight,ED3,r200,40,164,183,2176,27,152554,168,False
flight,ED3,r180,40,164,168,1964,25,140652,168,True
flight,ED4,r200,20,164,217,4192,53,141450,168,False
flight,ED4,r180,20,164,199,3790,48,129557,168,False
flight,ED4,r200,40,164,206,2907,37,143827,168,False
flight,ED4,r180,40,164,188,2629,33,131599,168,False
flight,ED5,r200,20,164,253,5729,70,136412,168,False
flight,ED5,r180,20,164,229,5171,63,124120,168,False
flight,ED5,r200,40,164,226,3317,41,137606,168,False
flight,ED5,r180,40,164,206,2992,37,125130,168,False
flight,SL1,r200,20,164,178,1994,23,146620,168,False
flight,SL1,r180,20,164,161,1812,21,135087,168,True
flight,SL1,r200,40,164,173,1802,23,150324,168,False
flight,SL1,r180,40,164,157,1637,21,137929,168,True
flight,SL2,r200,20,164,174,2031,23,146583,168,False
flight,SL2,r180,20,164,158,1856,21,135092,168,True
flight,SL2,r200,40,164,167,1815,22,150477,168,True
flight,SL2,r180,40,164,154,1649,20,138226,168,True
flight,SL3,r200,20,164,147,1187,14,158697,168,True
flight,SL3,r180,20,164,139,1079,12,148748,168,True
flight,SL3,r200,40,164,152,1064,12,165435,168,True
flight,SL3,r180,40,164,139,970,11,154050,168,True
flight,SL4,r200,20,164,212,3548,45,139854,168,False
flight,SL4,r180,20,164,193,3211,40,127693,168,False
flight,SL4,r200,40,164,204,2834,36,142375,168,False
flight,SL4,r180,40,164,186,2565,32,129769,168,False
flight,SL5,r200,20,164,172,2028,26,146452,168,False
flight,SL5,r180,20,164,157,1847,23,135006,168,True
flight,SL5,r200,40,164,164,1820,22,150337,168,True
flight,SL5,r180,40,164,153,1645,20,138119,168,True
flight,SL6,r200,20,164,151,1469,17,152546,168,True
flight,SL6,r180,20,164,143,1341,16,141956,168,True
