grouping,model,regime,N,mean_wait,median_wait,p90_wait,p95_wait,max_wait,pct_gt5,pct_gt20,pct_gt60,pct_finish_after_dep,pct_finish_after_close
flight,ED0,r180,39610,250.49,199.0,574.0,693.55,1289.0,92.72,86.4,76.15,71.11,79.39
flight,ED1,r180,39610,253.67,200.0,572.0,690.55,1287.0,96.33,90.7,79.54,67.93,76.22
flight,ED2,r180,39610,260.49,206.0,577.0,694.0,1287.0,97.7,92.96,81.94,67.41,75.69
flight,ED3,r180,39610,286.3,241.0,630.0,751.0,1343.0,93.13,88.25,79.77,80.03,88.31
flight,ED4,r180,39610,328.9,288.0,690.0,814.55,1402.0,95.73,91.94,84.63,88.24,96.46
flight,ED5,r180,39610,357.87,319.0,730.0,857.0,1463.0,97.2,94.05,87.53,93.42,99.83
flight,EG0,r180,39610,330.3,289.0,655.1,767.0,1298.0,98.89,96.57,90.27,66.96,75.24
flight,EG1,r180,39610,307.25,260.0,623.0,733.0,1285.0,98.82,96.3,89.33,67.03,75.31
flight,EG2,r180,39610,298.3,250.0,613.0,724.0,1285.0,98.73,96.03,88.77,67.09,75.37
flight,EG3,r180,39610,358.37,323.0,706.0,817.55,1361.0,99.0,96.69,90.86,66.9,75.18
flight,EG4,r180,39610,377.46,343.0,743.0,859.55,1425.0,99.13,96.79,91.18,66.88,75.16
flight,EG5,r180,39610,387.67,352.0,762.0,885.0,1471.0,99.17,97.03,91.3,66.88,75.16
flight,N1,r180,39610,325.71,286.0,676.0,794.0,1357.0,96.73,93.27,86.04,69.7,77.98
flight,N10,r180,39610,358.79,321.0,725.1,848.0,1435.0,97.9,95.05,88.61,70.06,78.34
flight,N11,r180,39610,326.07,287.0,678.0,795.0,1367.0,96.89,93.38,86.02,65.6,73.89
flight,N12,r180,39610,295.41,253.0,631.0,742.0,1291.0,95.43,91.41,83.37,61.48,69.76
flight,N13,r180,39610,267.53,223.0,585.0,697.0,1241.0,94.4,89.59,80.68,57.84,66.12
flight,N2,r180,39610,325.55,286.0,677.0,794.0,1372.0,96.73,93.21,85.95,67.62,75.91
flight,N3,r180,39610,267.93,223.0,587.0,698.0,1237.0,94.37,89.72,80.77,61.96,70.24
flight,N4,r180,39610,358.65,321.0,726.0,850.0,1427.0,97.93,95.0,88.55,78.27,86.55
flight,N5,r180,39610,325.74,286.0,679.0,797.0,1367.0,96.68,93.16,85.96,73.82,82.1
flight,N6,r180,39610,295.7,254.0,631.0,744.0,1299.0,95.48,91.4,83.33,69.84,78.12
flight,N7,r180,39610,267.88,223.0,587.0,699.0,1211.0,94.51,89.65,80.87,66.13,74.41
flight,N8,r180,39610,358.65,321.0,726.0,848.0,1430.0,97.84,94.99,88.55,74.17,82.45
flight,N9,r180,39610,295.78,254.0,630.0,744.0,1298.0,95.41,91.51,83.42,65.66,73.94
flight,SL1,r180,39610,333.4,294.0,686.0,802.55,1375.0,97.27,94.03,87.08,70.69,78.97
flight,SL10,r180,39610,363.87,327.0,732.0,854.55,1432.0,98.15,95.5,89.19,70.69,78.98
flight,SL11,r180,39610,333.69,295.0,686.0,802.0,1376.0,97.25,94.05,87.11,66.64,74.92
flight,SL12,r180,39610,305.86,265.0,641.0,755.0,1283.0,96.48,92.71,85.07,62.9,71.18
flight,SL13,r180,39610,280.37,237.0,600.0,708.0,1231.0,95.47,91.39,83.1,59.5,67.78
flight,SL14,r180,39610,342.84,305.0,696.0,811.0,1376.0,97.89,94.98,88.38,71.93,80.21
flight,SL15,r180,39610,342.85,305.0,696.0,812.0,1367.0,97.93,95.0,88.3,69.87,78.15
flight,SL16,r180,39610,294.16,250.0,617.0,730.0,1221.0,96.81,92.99,85.21,65.35,73.63
flight,SL17,r180,39610,369.19,332.0,737.0,860.0,1438.0,98.46,95.94,89.83,79.69,87.97
flight,SL18,r180,39610,342.88,306.0,696.0,812.0,1366.0,97.88,94.96,88.31,76.04,84.32
flight,SL19,r180,39610,318.23,279.0,656.0,766.0,1304.0,97.37,94.11,86.88,72.76,81.04
flight,SL2,r180,39610,333.53,295.0,686.1,800.55,1368.0,97.27,94.08,87.09,68.67,76.95
flight,SL20,r180,39610,293.01,251.0,616.0,724.0,1232.0,96.63,92.86,85.1,69.34,77.62
flight,SL21,r180,39610,369.1,332.5,738.0,859.0,1448.0,98.42,95.92,89.84,75.54,83.82
flight,SL22,r180,39610,317.44,278.0,655.0,769.0,1309.0,97.28,94.0,86.81,68.52,76.8
flight,SL23,r180,39610,369.34,333.0,737.0,859.0,1444.0,98.45,95.96,89.86,71.42,79.7
flight,SL24,r180,39610,342.82,305.0,695.0,810.0,1367.0,97.86,94.97,88.37,67.83,76.11
flight,SL25,r180,39610,317.68,278.0,656.0,769.0,1303.0,97.24,93.92,86.73,64.35,72.63
flight,SL26,r180,39610,293.01,250.0,615.0,725.0,1255.0,96.54,92.84,85.06,61.06,69.34
flight,SL27,r180,39610,350.19,313.0,703.0,820.0,1375.0,98.34,95.68,89.36,72.92,81.2
flight,SL28,r180,39610,350.04,313.0,704.0,818.0,1369.0,98.29,95.67,89.36,70.85,79.13
flight,SL29,r180,39610,304.81,262.0,628.0,736.0,1253.0,97.52,94.39,87.12,66.76,75.04
flight,SL3,r180,39610,279.49,237.0,599.0,710.0,1242.0,95.47,91.15,82.81,63.52,71.81
flight,SL30,r180,39610,373.59,337.0,742.0,863.0,1446.0,98.69,96.34,90.38,80.28,88.56
flight,SL31,r180,39610,350.61,314.0,703.0,821.0,1376.0,98.37,95.75,89.4,77.11,85.39
flight,SL32,r180,39610,327.29,288.0,666.0,776.0,1308.0,97.94,95.05,88.3,73.91,82.19
flight,SL33,r180,39610,305.19,262.0,628.0,735.0,1255.0,97.53,94.35,87.11,70.9,79.18
flight,SL34,r180,39610,373.56,337.0,742.0,864.0,1440.0,98.69,96.33,90.4,76.13,84.41
flight,SL35,r180,39610,327.28,287.0,665.0,778.0,1314.0,97.94,95.03,88.27,69.78,78.06
flight,SL36,r180,39610,373.73,337.0,742.0,864.0,1447.0,98.7,96.37,90.45,72.02,80.3
flight,SL37,r180,39610,350.28,313.0,704.0,820.0,1389.0,98.36,95.72,89.36,68.8,77.08
flight,SL38,r180,39610,327.45,288.0,666.0,778.55,1307.0,97.92,95.02,88.22,65.64,73.92
flight,SL39,r180,39610,304.46,262.0,626.1,738.0,1253.0,97.53,94.36,87.09,62.62,70.9
flight,SL4,r180,39610,363.88,327.0,731.0,853.0,1439.0,98.18,95.49,89.22,78.97,87.25
flight,SL5,r180,39610,333.51,295.0,686.0,801.0,1381.0,97.32,94.03,87.11,74.87,83.15
flight,SL6,r180,39610,306.07,266.0,641.0,756.0,1296.0,96.46,92.71,85.01,71.13,79.41
flight,SL7,r180,39610,280.17,237.0,600.0,709.0,1220.0,95.56,91.22,82.92,67.66,75.94
flight,SL8,r180,39610,364.07,327.0,731.0,854.0,1428.0,98.13,95.48,89.26,74.87,83.15
flight,SL9,r180,39610,305.37,265.0,640.1,753.0,1303.0,96.28,92.53,84.91,66.9,75.19
flight,SR1,r180,39610,318.63,277.5,671.0,788.0,1364.0,96.16,92.39,84.79,68.73,77.01
flight,SR10,r180,39610,354.47,316.0,722.0,846.0,1446.0,97.58,94.61,87.97,69.45,77.74
flight,SR11,r180,39610,318.38,278.0,669.0,789.0,1364.0,96.09,92.33,84.8,64.61,72.89
flight,SR12,r180,39610,287.13,244.0,623.0,735.0,1280.0,94.82,90.29,81.76,60.5,68.78
flight,SR13,r180,39610,258.08,212.0,577.0,689.0,1239.0,93.2,87.97,78.64,56.64,64.92
flight,SR14,r180,39610,313.31,271.0,665.0,786.0,1361.0,95.78,91.79,84.04,68.03,76.31
flight,SR15,r180,39610,314.99,273.0,666.0,788.0,1373.0,95.73,92.04,84.28,66.3,74.58
flight,SR16,r180,39610,253.91,206.0,575.0,687.0,1224.0,92.54,87.25,77.63,60.35,68.63
flight,SR17,r180,39610,351.65,312.0,719.0,844.0,1440.0,97.47,94.37,87.64,77.33,85.61
flight,SR18,r180,39610,314.27,272.0,666.0,787.0,1376.0,95.9,91.93,84.17,72.31,80.59
flight,SR19,r180,39610,282.2,238.0,619.0,735.55,1290.0,94.14,89.52,81.02,68.1,76.38
flight,SR2,r180,39610,318.2,277.0,670.0,788.55,1375.0,96.07,92.34,84.77,66.65,74.93
flight,SR20,r180,39610,253.35,207.0,573.0,685.0,1233.0,92.61,87.08,77.49,64.38,72.66
flight,SR21,r180,39610,351.11,311.0,718.0,843.0,1441.0,97.4,94.3,87.58,73.14,81.42
flight,SR22,r180,39610,281.28,236.0,618.0,734.0,1294.0,94.02,89.25,80.69,63.9,72.18
flight,SR23,r180,39610,350.94,311.0,718.0,843.0,1438.0,97.31,94.29,87.52,68.95,77.23
flight,SR24,r180,39610,313.7,271.5,665.0,785.0,1359.0,95.76,91.77,84.02,64.03,72.31
flight,SR25,r180,39610,283.36,239.0,618.0,737.0,1293.0,94.33,89.77,81.08,59.99,68.27
flight,SR26,r180,39610,253.57,207.0,573.0,686.0,1240.0,92.52,87.07,77.6,56.13,64.41
flight,SR27,r180,39610,311.62,269.0,662.1,784.0,1358.0,95.55,91.6,83.88,67.86,76.14
flight,SR28,r180,39610,311.58,269.0,662.0,783.0,1384.0,95.64,91.53,83.72,65.78,74.06
flight,SR29,r180,39610,252.46,204.0,572.0,689.0,1248.0,92.38,86.92,77.38,60.15,68.43
flight,SR3,r180,39610,260.07,214.0,580.0,689.55,1232.0,93.56,88.36,79.04,61.02,69.3
flight,SR30,r180,39610,349.87,310.0,717.0,842.0,1444.0,97.26,94.08,87.37,77.09,85.37
flight,SR31,r180,39610,312.38,270.0,663.0,785.0,1375.0,95.67,91.69,83.91,72.16,80.44
flight,SR32,r180,39610,278.8,232.0,615.0,734.0,1317.0,93.96,88.98,80.28,67.69,75.97
flight,SR33,r180,39610,251.23,203.0,570.0,685.55,1256.0,92.23,86.81,76.89,64.21,72.49
