seat,flight,N1_entry,N1_wait_r200_flight,N1_wait_r180_flight,N1_proc_r200_flight,N1_proc_r180_flight,N1_wait_r200_airline,N1_wait_r180_airline,N1_proc_r200_airline,N1_proc_r180_airline,N1_wait_r200_gha,N1_wait_r180_gha,N1_proc_r200_gha,N1_proc_r180_gha
210,AI 173,-261.0,0.0,0.0,-257.667,-258.0,0.0,0.0,-257.667,-258.0,0.0,0.0,-257.667,-258.0
180,AI 173,-227.0,-0.0,0.0,-223.667,-224.0,0.0,0.0,-223.667,-224.0,0.0,0.0,-223.667,-224.0
114,AI 173,-219.0,0.0,0.0,-215.667,-216.0,0.0,0.0,-215.667,-216.0,0.0,0.0,-215.667,-216.0
221,AI 173,-214.0,0.0,0.0,-210.667,-211.0,5.0,4.0,-205.667,-207.0,5.0,4.0,-205.667,-207.0
126,AI 173,-211.0,0.333,0.0,-207.333,-208.0,12.0,10.0,-195.667,-198.0,12.0,10.0,-195.667,-198.0
253,AI 173,-209.0,5.0,4.0,-200.667,-202.0,23.333,20.0,-182.333,-186.0,23.333,20.0,-182.333,-186.0
235,AI 173,-209.0,1.667,1.0,-204.0,-205.0,20.0,17.0,-185.667,-189.0,20.0,17.0,-185.667,-189.0
285,AI 173,-209.0,8.333,7.0,-197.333,-199.0,26.667,23.0,-179.0,-183.0,26.667,23.0,-179.0,-183.0
168,AI 173,-202.0,8.0,6.0,-190.667,-193.0,56.333,49.0,-142.333,-150.0,56.333,49.0,-142.333,-150.0
107,AI 173,-202.0,4.667,3.0,-194.0,-196.0,53.0,46.0,-145.667,-153.0,53.0,46.0,-145.667,-153.0
157,AI 173,-201.0,13.667,11.0,-184.0,-187.0,72.0,63.0,-125.667,-135.0,72.0,63.0,-125.667,-135.0
32,AI 173,-201.0,10.333,8.0,-187.333,-190.0,68.667,60.0,-129.0,-138.0,68.667,60.0,-129.0,-138.0
249,AI 173,-198.0,14.0,11.0,-180.667,-184.0,79.0,69.0,-115.667,-126.0,79.0,69.0,-115.667,-126.0
267,AI 173,-194.0,13.333,10.0,-177.333,-181.0,108.333,95.0,-82.333,-96.0,108.333,95.0,-82.333,-96.0
283,AI 173,-193.0,15.667,12.0,-174.0,-178.0,124.0,109.0,-65.667,-81.0,124.0,109.0,-65.667,-81.0
7,AI 173,-192.0,18.0,14.0,-170.667,-175.0,126.333,111.0,-62.333,-78.0,126.333,111.0,-62.333,-78.0
74,AI 173,-192.0,21.333,17.0,-167.333,-172.0,129.667,114.0,-59.0,-75.0,129.667,114.0,-59.0,-75.0
72,AI 173,-191.0,27.0,22.0,-160.667,-166.0,148.667,131.0,-39.0,-57.0,148.667,131.0,-39.0,-57.0
4,AI 173,-191.0,23.667,19.0,-164.0,-169.0,145.333,128.0,-42.333,-60.0,145.333,128.0,-42.333,-60.0
136,AI 173,-191.0,30.333,25.0,-157.333,-163.0,152.0,134.0,-35.667,-54.0,152.0,134.0,-35.667,-54.0
83,AI 173,-189.0,35.0,29.0,-150.667,-157.0,176.667,156.0,-9.0,-30.0,176.667,156.0,-9.0,-30.0
178,AI 173,-189.0,38.333,32.0,-147.333,-154.0,180.0,159.0,-5.667,-27.0,180.0,159.0,-5.667,-27.0
21,AI 173,-189.0,31.667,26.0,-154.0,-160.0,173.333,153.0,-12.333,-33.0,173.333,153.0,-12.333,-33.0
271,AI 173,-188.0,40.667,34.0,-144.0,-151.0,205.667,182.0,21.0,-3.0,205.667,182.0,21.0,-3.0
123,AI 173,-187.0,43.0,36.0,-140.667,-148.0,221.333,196.0,37.667,12.0,221.333,196.0,37.667,12.0
66,AI 173,-186.0,45.333,38.0,-137.333,-145.0,230.333,204.0,47.667,21.0,230.333,204.0,47.667,21.0
142,AI 173,-184.0,46.667,39.0,-134.0,-142.0,255.0,226.0,74.333,45.0,255.0,226.0,74.333,45.0
257,AI 173,-183.0,49.0,41.0,-130.667,-139.0,264.0,234.0,84.333,54.0,264.0,234.0,84.333,54.0
163,AI 173,-180.0,49.333,41.0,-127.333,-136.0,317.667,282.0,141.0,105.0,317.667,282.0,141.0,105.0
273,AI 173,-180.0,52.667,44.0,-124.0,-133.0,321.0,285.0,144.333,108.0,321.0,285.0,144.333,108.0
119,AI 173,-179.0,55.0,46.0,-120.667,-130.0,350.0,311.0,174.333,135.0,350.0,311.0,174.333,135.0
212,AI 173,-179.0,58.333,49.0,-117.333,-127.0,353.333,314.0,177.667,138.0,353.333,314.0,177.667,138.0
226,AI 173,-178.0,60.667,51.0,-114.0,-124.0,359.0,319.0,184.333,144.0,359.0,319.0,184.333,144.0
204,AI 173,-177.0,69.667,59.0,-104.0,-115.0,374.667,333.0,201.0,159.0,374.667,333.0,201.0,159.0
203,AI 173,-177.0,66.333,56.0,-107.333,-118.0,371.333,330.0,197.667,156.0,371.333,330.0,197.667,156.0
48,AI 173,-177.0,63.0,53.0,-110.667,-121.0,368.0,327.0,194.333,153.0,368.0,327.0,194.333,153.0
254,AI 173,-176.0,75.333,64.0,-97.333,-109.0,397.0,353.0,224.333,180.0,397.0,353.0,224.333,180.0
55,AI 173,-176.0,72.0,61.0,-100.667,-112.0,393.667,350.0,221.0,177.0,393.667,350.0,221.0,177.0
68,AI 173,-175.0,77.667,66.0,-94.0,-106.0,416.0,370.0,244.333,198.0,416.0,370.0,244.333,198.0
60,AI 173,-174.0,80.0,68.0,-90.667,-103.0,438.333,390.0,267.667,219.0,438.333,390.0,267.667,219.0
213,AI 173,-174.0,90.0,77.0,-80.667,-94.0,448.333,399.0,277.667,228.0,448.333,399.0,277.667,228.0
165,AI 173,-174.0,86.667,74.0,-84.0,-97.0,445.0,396.0,274.333,225.0,445.0,396.0,274.333,225.0
92,AI 173,-174.0,83.333,71.0,-87.333,-100.0,441.667,393.0,271.0,222.0,441.667,393.0,271.0,222.0
252,AI 173,-173.0,95.667,82.0,-74.0,-88.0,477.333,425.0,307.667,255.0,477.333,425.0,307.667,255.0
56,AI 173,-173.0,92.333,79.0,-77.333,-91.0,474.0,422.0,304.333,252.0,474.0,422.0,304.333,252.0
87,AI 173,-172.0,98.0,84.0,-70.667,-85.0,493.0,439.0,324.333,270.0,493.0,439.0,324.333,270.0
240,AI 173,-171.0,103.667,89.0,-64.0,-79.0,512.0,456.0,344.333,288.0,512.0,456.0,344.333,288.0
244,AI 173,-171.0,107.0,92.0,-60.667,-76.0,515.333,459.0,347.667,291.0,515.333,459.0,347.667,291.0
192,AI 173,-171.0,100.333,86.0,-67.333,-82.0,508.667,453.0,341.0,285.0,508.667,453.0,341.0,285.0
176,AI 173,-170.0,119.333,103.0,-47.333,-64.0,557.667,497.0,391.0,330.0,557.667,497.0,391.0,330.0
35,AI 173,-170.0,109.333,94.0,-57.333,-73.0,547.667,488.0,381.0,321.0,547.667,488.0,381.0,321.0
76,AI 173,-170.0,112.667,97.0,-54.0,-70.0,551.0,491.0,384.333,324.0,551.0,491.0,384.333,324.0
167,AI 173,-170.0,116.0,100.0,-50.667,-67.0,554.333,494.0,387.667,327.0,554.333,494.0,387.667,327.0
65,AI 173,-169.0,121.667,105.0,-44.0,-61.0,590.0,526.0,424.333,360.0,590.0,526.0,424.333,360.0
139,AI 173,-169.0,128.333,111.0,-37.333,-55.0,596.667,532.0,431.0,366.0,596.667,532.0,431.0,366.0
162,AI 173,-169.0,131.667,114.0,-34.0,-52.0,600.0,535.0,434.333,369.0,600.0,535.0,434.333,369.0
121,AI 173,-169.0,125.0,108.0,-40.667,-58.0,593.333,529.0,427.667,363.0,593.333,529.0,427.667,363.0
260,AI 173,-168.0,147.333,128.0,-17.333,-37.0,642.333,573.0,477.667,408.0,642.333,573.0,477.667,408.0
120,AI 173,-168.0,137.333,119.0,-27.333,-46.0,632.333,564.0,467.667,399.0,632.333,564.0,467.667,399.0
146,AI 173,-168.0,140.667,122.0,-24.0,-43.0,635.667,567.0,471.0,402.0,635.667,567.0,471.0,402.0
8,AI 173,-168.0,134.0,116.0,-30.667,-49.0,629.0,561.0,464.333,396.0,629.0,561.0,464.333,396.0
216,AI 173,-168.0,144.0,125.0,-20.667,-40.0,639.0,570.0,474.333,405.0,639.0,570.0,474.333,405.0
41,AI 173,-167.0,149.667,130.0,-14.0,-34.0,671.333,599.0,507.667,435.0,671.333,599.0,507.667,435.0
186,AI 173,-166.0,152.0,132.0,-10.667,-31.0,703.667,628.0,541.0,465.0,703.667,628.0,541.0,465.0
223,AI 173,-166.0,155.333,135.0,-7.333,-28.0,707.0,631.0,544.333,468.0,707.0,631.0,544.333,468.0
282,AI 173,-165.0,167.667,146.0,6.0,-16.0,766.0,684.0,604.333,522.0,769.333,687.0,607.667,525.0
160,AI 173,-165.0,157.667,137.0,-4.0,-25.0,756.0,675.0,594.333,513.0,759.333,678.0,597.667,516.0
214,AI 173,-165.0,161.0,140.0,-0.667,-22.0,759.333,678.0,597.667,516.0,762.667,681.0,601.0,519.0
230,AI 173,-165.0,164.333,143.0,2.667,-19.0,762.667,681.0,601.0,519.0,766.0,684.0,604.333,522.0
236,AI 173,-164.0,176.667,154.0,16.0,-7.0,801.667,716.0,641.0,555.0,805.0,719.0,644.333,558.0
181,AI 173,-164.0,173.333,151.0,12.667,-10.0,798.333,713.0,637.667,552.0,801.667,716.0,641.0,555.0
3,AI 173,-164.0,170.0,148.0,9.333,-13.0,795.0,710.0,634.333,549.0,798.333,713.0,637.667,552.0
288,AI 173,-163.0,185.667,162.0,26.0,2.0,840.667,751.0,681.0,591.0,844.0,754.0,684.333,594.0
125,AI 173,-163.0,182.333,159.0,22.667,-1.0,837.333,748.0,677.667,588.0,840.667,751.0,681.0,591.0
54,AI 173,-163.0,179.0,156.0,19.333,-4.0,834.0,745.0,674.333,585.0,837.333,748.0,677.667,588.0
202,AI 173,-162.0,188.0,164.0,29.333,5.0,869.667,777.0,711.0,618.0,873.0,780.0,714.333,621.0
211,AI 173,-162.0,191.333,167.0,32.667,8.0,873.0,780.0,714.333,621.0,876.333,783.0,717.667,624.0
149,AI 173,-161.0,197.0,172.0,39.333,14.0,908.667,812.0,751.0,654.0,912.0,815.0,754.333,657.0
10,AI 173,-161.0,193.667,169.0,36.0,11.0,905.333,809.0,747.667,651.0,908.667,812.0,751.0,654.0
1,AI 173,-160.0,199.333,174.0,42.667,17.0,951.0,850.0,794.333,693.0,954.333,853.0,797.667,696.0
90,AI 173,-160.0,202.667,177.0,46.0,20.0,954.333,853.0,797.667,696.0,957.667,856.0,801.0,699.0
207,AI 173,-160.0,206.0,180.0,49.333,23.0,957.667,856.0,801.0,699.0,961.0,859.0,804.333,702.0
208,AI 173,-160.0,209.333,183.0,52.667,26.0,961.0,859.0,804.333,702.0,964.333,862.0,807.667,705.0
243,AI 173,-160.0,216.0,189.0,59.333,32.0,967.667,865.0,811.0,708.0,971.0,868.0,814.333,711.0
209,AI 173,-160.0,212.667,186.0,56.0,29.0,964.333,862.0,807.667,705.0,967.667,865.0,811.0,708.0
184,AI 173,-159.0,225.0,197.0,69.333,41.0,1010.0,903.0,854.333,747.0,1013.333,906.0,857.667,750.0
187,AI 173,-159.0,228.333,200.0,72.667,44.0,1013.333,906.0,857.667,750.0,1016.667,909.0,861.0,753.0
