No.,DATE,Airline code,Flight Designator,SOBT,Hour,Routing,Traffic Type,Public Terminal,GHA,Seats,Pax,D-4 Pax,D-3 Pax,D-2 Pax,D-4,D-3,D-2,Confidence
1,21-06-2026,AI,AI 173,00:05,0,DEL-CCU-SFO,INTERNATIONAL,Terminal 3,AISATS,288,230,69,92,69,20:05,21:05,22:05,high
2,21-06-2026,AI,AI 312,00:05,0,DEL-ICN,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,20:05,21:05,22:05,high
3,21-06-2026,VJ,VJ 972,00:05,0,DEL-HAN,INTERNATIONAL,Terminal 3,BFS,377,302,91,121,91,20:05,21:05,22:05,high
4,21-06-2026,AI,AI 187,00:10,0,DEL-VIE-YYZ,INTERNATIONAL,Terminal 3,AISATS,328,262,79,105,79,20:10,21:10,22:10,high
5,21-06-2026,AI,AI 161,00:30,0,DEL-LHR,INTERNATIONAL,Terminal 3,AISATS,316,253,76,101,76,20:30,21:30,22:30,high
6,21-06-2026,AI,AI 2336,00:30,0,DEL-BKK,INTERNATIONAL,Terminal 3,AISATS,164,131,39,52,39,20:30,21:30,22:30,high
7,21-06-2026,AI,AI 2118,00:40,0,DEL-SIN,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,20:40,21:40,22:40,high
8,21-06-2026,AF,AF 283,00:50,0,DEL-CDG,INTERNATIONAL,Terminal 3,AISATS,188,150,45,60,45,20:50,21:50,22:50,high
9,21-06-2026,AI,AI 302,00:55,0,DEL-SYD,INTERNATIONAL,Terminal 3,BFS,328,262,79,105,79,20:55,21:55,22:55,high
10,21-06-2026,AI,AI 277,01:00,1,DEL-CMB,INTERNATIONAL,Terminal 3,AISATS,259,207,62,83,62,21:00,22:00,23:00,high
11,21-06-2026,LX,LX 147,01:05,1,DEL-ZRH,INTERNATIONAL,Terminal 3,AISATS,182,146,44,58,44,21:05,22:05,23:05,high
