Code,Family,mean,SD,alpha,exp_s,seed,verdict,exact_match,mismatches,realized_mean,realized_SD,realized_skew,min,max,neg_count
N1,Normal,150,30,,,np.random.seed(42),PASS,True,0,149.89,30.01,-0.0,16,284,0
N2,Normal,165,30,,,43,PASS,True,0,164.86,29.94,0.0,57,293,0
N3,Normal,150,60,,,44,PASS,True,0,149.95,60.37,0.014,-89,392,225
N4,Normal,120,15,,,45,PASS,True,0,120.04,14.98,0.025,57,186,0
N5,Normal,120,30,,,46,PASS,True,0,119.93,29.84,0.004,-2,241,1
N6,Normal,120,45,,,47,PASS,True,0,119.84,44.94,0.026,-52,297,133
N7,Normal,120,60,,,48,PASS,True,0,119.9,60.46,-0.014,-114,351,895
N8,Normal,150,15,,,49,PASS,True,0,149.99,14.93,0.003,91,209,0
N9,Normal,150,45,,,50,PASS,True,0,150.05,44.98,-0.005,-41,334,23
N10,Normal,180,15,,,51,PASS,True,0,179.96,14.92,0.013,121,241,0
N11,Normal,180,30,,,52,PASS,True,0,180.11,29.86,-0.007,64,297,0
N12,Normal,180,45,,,53,PASS,True,0,180.18,44.97,0.016,2,385,0
N13,Normal,180,60,,,54,PASS,True,0,179.66,60.24,0.005,-64,419,57
U1,Uniform,,,,,100,PASS,True,0,119.99,69.48,-0.003,0,240,0
EG0,ExpGrowth,,,,80,110,PASS,True,0,172.52,56.78,-0.983,0,240,0
EG1,ExpGrowth,,,,160,111,PASS,True,0,149.25,65.46,-0.515,0,240,0
EG2,ExpGrowth,,,,240,112,PASS,True,0,140.08,67.58,-0.352,0,240,0
EG3,ExpGrowth,,,,40,113,PASS,True,0,200.73,38.25,-1.698,1,240,0
EG4,ExpGrowth,,,,20,114,PASS,True,0,219.85,20.22,-1.974,43,240,0
EG5,ExpGrowth,,,,10,115,PASS,True,0,230.07,9.93,-1.962,142,240,0
ED0,ExpDecay,,,,80,120,PASS,True,0,67.53,56.66,0.984,0,240,0
ED1,ExpDecay,,,,160,121,PASS,True,0,90.83,65.37,0.514,0,240,0
ED2,ExpDecay,,,,240,122,PASS,True,0,100.51,67.79,0.348,0,240,0
ED3,ExpDecay,,,,40,123,PASS,True,0,39.18,38.09,1.715,0,239,0
ED4,ExpDecay,,,,20,124,PASS,True,0,20.09,20.07,1.98,0,234,0
ED5,ExpDecay,,,,10,125,PASS,True,0,9.98,10.04,2.05,0,159,0
SL1,SkewLeft,150,30,-2,,200,PASS,True,0,150.0,30.19,-0.449,15,249,0
SL2,SkewLeft,165,30,-2,,201,PASS,True,0,164.97,30.01,-0.456,8,273,0
SL3,SkewLeft,150,60,-2,,202,PASS,True,0,149.4,60.16,-0.459,-125,370,539
SL4,SkewLeft,120,15,-2,,203,PASS,True,0,120.11,14.95,-0.437,46,168,0
SL5,SkewLeft,120,30,-2,,204,PASS,True,0,120.12,29.98,-0.475,-50,218,21
SL6,SkewLeft,120,45,-2,,205,PASS,True,0,120.02,44.88,-0.458,-119,266,388
SL7,SkewLeft,120,60,-2,,206,PASS,True,0,119.75,60.26,-0.476,-172,321,1399
SL8,SkewLeft,150,15,-2,,207,PASS,True,0,150.01,14.99,-0.487,82,201,0
SL9,SkewLeft,150,45,-2,,208,PASS,True,0,150.08,44.84,-0.423,-106,307,75
SL10,SkewLeft,180,15,-2,,209,PASS,True,0,179.99,14.96,-0.461,104,228,0
